time,wx,wy,yaw,pitch,roll,imu_ax,imu_ay,imu_az
1774366892.262,-170.000,-0.000,-0.0000,0.0350,-0.0073,-0.3431,-0.0716,9.7937
1774366892.263,-170.000,-0.000,-0.0000,0.0350,-0.0073,-0.3431,-0.0716,9.7937
1774366892.356,-170.000,0.000,0.0002,0.0350,-0.0074,0.5483,-0.4011,9.7935
1774366892.474,-169.996,0.000,0.0060,0.0350,-0.0073,0.3272,-0.0110,9.7934
1774366892.588,-169.988,0.000,0.0197,0.0351,-0.0070,0.1841,-0.2055,9.7937
1774366892.691,-169.974,0.001,0.0356,0.0350,-0.0063,0.1576,-0.0430,9.7938
1774366892.803,-169.956,0.001,0.0497,0.0351,-0.0057,0.1572,-0.0330,9.7937
1774366892.929,-169.932,0.003,0.0596,0.0351,-0.0053,0.1565,-0.0355,9.7937
1774366893.034,-169.903,0.004,0.0669,0.0351,-0.0051,0.1564,-0.0311,9.7937
1774366893.145,-169.870,0.007,0.0736,0.0351,-0.0048,0.1563,-0.0270,9.7937
1774366893.249,-169.831,0.010,0.0797,0.0351,-0.0046,0.1563,-0.0231,9.7937
1774366893.371,-169.788,0.013,0.0854,0.0351,-0.0044,0.1563,-0.0204,9.7937
1774366893.488,-169.740,0.018,0.0906,0.0351,-0.0043,-0.2529,0.0841,9.7938
1774366893.608,-169.690,0.022,0.0954,0.0359,-0.0050,-0.4001,0.1533,9.7927
1774366893.714,-169.640,0.027,0.0998,0.0359,-0.0050,-0.4030,0.1654,9.7926
1774366893.825,-169.590,0.032,0.1038,0.0359,-0.0049,-0.3521,-0.0298,9.7936
1774366893.928,-169.541,0.037,0.1076,0.0358,-0.0042,-0.2547,0.0838,9.7932
1774366894.039,-169.491,0.043,0.1111,0.0360,-0.0041,-0.3526,-0.0245,9.7934
1774366894.147,-169.441,0.049,0.1143,0.0360,-0.0038,0.3057,1.0353,9.9506
1774366894.252,-169.392,0.054,0.1172,0.0363,-0.0035,-0.3554,-0.0317,9.7934
1774366894.359,-169.342,0.060,0.1199,0.0365,-0.0035,-1.8234,-1.7106,12.2303
1774366894.463,-169.292,0.066,0.1224,0.0367,-0.0033,-0.2820,-0.1167,9.7932
1774366894.568,-169.243,0.072,0.1247,0.0372,-0.0028,-0.3644,-0.0248,9.7930
1774366894.680,-169.193,0.079,0.1268,0.0375,-0.0025,-0.3676,-0.0218,9.7930
1774366894.782,-169.143,0.085,0.1288,0.0378,-0.0022,-0.3707,-0.0189,9.7929
1774366894.894,-169.094,0.092,0.1306,0.0381,-0.0019,-0.3737,-0.0162,9.7928
1774366895.002,-169.044,0.098,0.1322,0.0376,-0.0022,-0.2827,-0.1158,9.7928
1774366895.107,-168.995,0.105,0.1338,0.0382,-0.0018,-0.3745,-0.0160,9.7924
1774366895.232,-168.945,0.111,0.1352,0.0383,-0.0018,-0.3750,-0.0168,9.7925
1774366895.334,-168.896,0.118,0.1365,0.0383,-0.0019,-0.3754,-0.0176,9.7925
