t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776749351.916459,25.3,-3.612153,16.439846,0.09602,0.705684,0.075293,-0.060646,-0.7019,-79.83100128173828,-1.3496750593185425
1776749352.016675,25.3,-3.612153,16.439846,0.09602,0.705684,0.075293,-0.060646,-0.7019,-79.74671936035156,-1.3256378173828125
1776749352.116923,25.3,-3.612153,16.439846,0.09602,0.705684,0.075293,-0.060646,-0.7019,-79.74671936035156,-1.3256378173828125
1776749352.2173336,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.74671936035156,-1.3256378173828125
1776749352.317597,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.74671936035156,-1.3256378173828125
1776749352.4178057,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.74671936035156,-1.3256378173828125
1776749352.517987,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.74671936035156,-1.3256378173828125
1776749352.6182098,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.74671936035156,-1.3256378173828125
1776749352.7189646,25.4,-3.628183,16.520969,0.095924,0.70568,0.074238,-0.05951,-0.702113,-79.66460418701172,-1.3028955459594727
1776749352.819195,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.66460418701172,-1.3028955459594727
1776749352.9195006,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.66460418701172,-1.3028955459594727
1776749353.0197182,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.66460418701172,-1.3028955459594727
1776749353.119983,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.66460418701172,-1.3028955459594727
1776749353.2202272,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.66460418701172,-1.3028955459594727
1776749353.3205001,25.5,-3.645518,16.606447,0.095003,0.705677,0.073354,-0.058239,-0.702316,-79.58271789550781,-1.2795131206512451
1776749353.4209764,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749353.521169,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749353.6213708,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749353.7215834,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749353.8217854,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749353.9220033,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.58271789550781,-1.2795131206512451
1776749354.022213,25.6,-3.658817,16.69071,0.093172,0.705819,0.071441,-0.056373,-0.702522,-79.49786376953125,-1.2572907209396362
1776749354.1226392,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.49786376953125,-1.2572907209396362
1776749354.222856,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.49786376953125,-1.2572907209396362
1776749354.3231018,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.49786376953125,-1.2572907209396362
1776749354.4233162,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.49786376953125,-1.2572907209396362
1776749354.523515,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.49786376953125,-1.2572907209396362
1776749354.6237118,25.7,-3.674742,16.780293,0.093437,0.705806,0.070119,-0.055088,-0.70277,-79.4166488647461,-1.2346155643463135
1776749354.7239304,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.4166488647461,-1.2346155643463135
1776749354.8241663,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.4166488647461,-1.2346155643463135
1776749354.924455,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.4166488647461,-1.2346155643463135
1776749355.0246944,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.4166488647461,-1.2346155643463135
1776749355.1249416,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.4166488647461,-1.2346155643463135
1776749355.2251325,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.33391571044922,-1.212315559387207
1776749355.325354,25.8,-3.684235,16.866041,0.093758,0.706045,0.068172,-0.053571,-0.70284,-79.33391571044922,-1.212315559387207
1776749355.4255683,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.33391571044922,-1.212315559387207
1776749355.525744,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.33391571044922,-1.212315559387207
1776749355.6260412,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.33391571044922,-1.212315559387207
1776749355.7262838,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.33391571044922,-1.212315559387207
1776749355.8264928,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.33391571044922,-1.212315559387207
1776749355.9267166,25.9,-3.69917,16.950926,0.092243,0.706103,0.066844,-0.052147,-0.703016,-79.2516098022461,-1.1920197010040283
1776749356.0269914,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.2516098022461,-1.1920197010040283
1776749356.1272194,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.2516098022461,-1.1920197010040283
1776749356.2275198,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.2516098022461,-1.1920197010040283
1776749356.3277824,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.2516098022461,-1.1920197010040283
1776749356.4280539,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.2516098022461,-1.1920197010040283
1776749356.5282612,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.19015502929688,-1.1772665977478027
1776749356.6285136,26.0,-3.71085,17.036512,0.090071,0.706288,0.064701,-0.050179,-0.703174,-79.19015502929688,-1.1772665977478027
1776749356.7287354,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.19015502929688,-1.1772665977478027
1776749356.8289418,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.19015502929688,-1.1772665977478027
1776749356.9291286,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.19015502929688,-1.1772665977478027
1776749357.0293384,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.19015502929688,-1.1772665977478027
1776749357.1295314,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.19015502929688,-1.1772665977478027
1776749357.2297132,26.1,-3.722977,17.112759,0.093529,0.706444,0.06327,-0.048483,-0.703266,-79.10958862304688,-1.158386468887329
1776749357.329967,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.10958862304688,-1.158386468887329
1776749357.4303684,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.10958862304688,-1.158386468887329
1776749357.5307465,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.10958862304688,-1.158386468887329
1776749357.6310105,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.10958862304688,-1.158386468887329
1776749357.731215,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.10958862304688,-1.158386468887329
1776749357.8314137,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.04672241210938,-1.1434228420257568
1776749357.9316106,26.2,-3.729424,17.178423,0.092186,0.706687,0.060955,-0.046028,-0.703391,-79.04672241210938,-1.1434228420257568
1776749358.0317554,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-79.04672241210938,-1.1434228420257568
1776749358.1319602,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-79.04672241210938,-1.1434228420257568
1776749358.2321656,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-79.04672241210938,-1.1434228420257568
1776749358.3325224,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-79.04672241210938,-1.1434228420257568
1776749358.4330475,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-79.04672241210938,-1.1434228420257568
1776749358.533195,26.3,-3.738272,17.26626,0.091492,0.706869,0.059301,-0.044252,-0.703464,-78.96625518798828,-1.1255345344543457
1776749358.6334484,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.96625518798828,-1.1255345344543457
1776749358.733816,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.96625518798828,-1.1255345344543457
1776749358.8343623,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.96625518798828,-1.1255345344543457
1776749358.934582,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.96625518798828,-1.1255345344543457
1776749359.0348072,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.96625518798828,-1.1255345344543457
1776749359.1349757,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.90319061279297,-1.1115219593048096
1776749359.2352138,26.4,-3.743524,17.334316,0.089998,0.707088,0.056307,-0.041391,-0.703664,-78.90319061279297,-1.1115219593048096
1776749359.335412,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.90319061279297,-1.1115219593048096
1776749359.43562,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.90319061279297,-1.1115219593048096
1776749359.535891,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.90319061279297,-1.1115219593048096
1776749359.6361518,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.90319061279297,-1.1115219593048096
1776749359.7364273,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.90319061279297,-1.1115219593048096
1776749359.8366804,26.5,-3.750283,17.415829,0.088371,0.70709,0.054695,-0.039827,-0.703879,-78.84662628173828,-1.0979220867156982
1776749359.936971,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.84662628173828,-1.0979220867156982
1776749360.0371623,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.84662628173828,-1.0979220867156982
1776749360.137388,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.84662628173828,-1.0979220867156982
1776749360.2375937,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.84662628173828,-1.0979220867156982
1776749360.337821,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.84662628173828,-1.0979220867156982
1776749360.4380507,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.78501892089844,-1.08643639087677
1776749360.5382607,26.6,-3.755802,17.482927,0.088226,0.707354,0.051712,-0.036609,-0.704014,-78.78501892089844,-1.08643639087677
1776749360.6385012,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.78501892089844,-1.08643639087677
1776749360.7387567,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.78501892089844,-1.08643639087677
1776749360.8389807,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.78501892089844,-1.08643639087677
1776749360.9391663,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.78501892089844,-1.08643639087677
1776749361.0393467,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.72871398925781,-1.074950933456421
1776749361.1395247,26.7,-3.760178,17.543575,0.087124,0.707581,0.049512,-0.034606,-0.704046,-78.72871398925781,-1.074950933456421
1776749361.2397265,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.72871398925781,-1.074950933456421
1776749361.3399265,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.72871398925781,-1.074950933456421
1776749361.4401755,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.72871398925781,-1.074950933456421
1776749361.5409303,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.72871398925781,-1.074950933456421
1776749361.6411788,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.72871398925781,-1.074950933456421
1776749361.7416573,26.8,-3.766607,17.600758,0.087713,0.707773,0.048198,-0.032672,-0.704036,-78.66898345947266,-1.063903570175171
1776749361.841831,26.9,-3.766915,17.656912,0.089504,0.707982,0.044446,-0.028811,-0.704241,-78.66898345947266,-1.063903570175171
1776749361.9420536,26.9,-3.766915,17.656912,0.089504,0.707982,0.044446,-0.028811,-0.704241,-78.66898345947266,-1.063903570175171
1776749361.9423575,26.9,-3.766915,17.656912,0.089504,0.707982,0.044446,-0.028811,-0.704241,-78.66898345947266,-1.063903570175171
