t,x,y,yaw
5.10,-94.9452,-5.9901,0.0838
5.20,-94.8689,-5.9837,0.0831
5.30,-94.7820,-5.9764,0.0820
5.40,-94.6955,-5.9700,0.0779
5.50,-94.6092,-5.9638,0.0772
5.60,-94.5222,-5.9566,0.0768
5.70,-94.4340,-5.9505,0.0742
5.80,-94.3476,-5.9445,0.0726
5.90,-94.2612,-5.9386,0.0713
6.00,-94.1759,-5.9326,0.0707
6.10,-94.0908,-5.9268,0.0695
6.20,-94.0047,-5.9218,0.0678
6.30,-93.9227,-5.9155,0.0681
6.40,-93.8359,-5.9103,0.0694
6.50,-93.8202,-5.9102,0.0688
6.60,-93.7640,-5.9040,0.0814
6.70,-93.6976,-5.8988,0.0940
6.80,-93.6309,-5.8914,0.1083
6.90,-93.5651,-5.8823,0.1310
7.00,-93.5033,-5.8758,0.1416
7.10,-93.4351,-5.8653,0.1673
7.20,-93.3715,-5.8564,0.1814
7.30,-93.3118,-5.8453,0.1884
7.40,-93.2491,-5.8342,0.2016
7.50,-93.1827,-5.8219,0.2209
7.60,-93.1188,-5.8098,0.2339
7.70,-93.0552,-5.7937,0.2529
7.80,-92.9944,-5.7778,0.2640
7.90,-92.9324,-5.7619,0.2769
8.00,-92.8709,-5.7438,0.2880
8.10,-92.8105,-5.7276,0.3040
8.20,-92.7468,-5.7072,0.3206
8.30,-92.6848,-5.6858,0.3306
8.40,-92.6247,-5.6656,0.3475
8.50,-92.5645,-5.6431,0.3563
8.60,-92.5036,-5.6217,0.3637
8.70,-92.4435,-5.5979,0.3730
8.80,-92.3832,-5.5741,0.3843
8.90,-92.3219,-5.5480,0.3925
9.00,-92.2618,-5.5236,0.4011
9.10,-92.2035,-5.4981,0.4146
9.20,-92.1410,-5.4719,0.4250
9.30,-92.0850,-5.4453,0.4385
9.40,-92.0262,-5.4173,0.4446
9.50,-91.9689,-5.3893,0.4504
9.60,-91.9704,-5.3901,0.4508
9.70,-91.9196,-5.3636,0.4653
9.80,-91.8641,-5.3354,0.4762
9.90,-91.8081,-5.3061,0.4840
10.00,-91.7488,-5.2754,0.4897
10.10,-91.6933,-5.2449,0.4948
10.20,-91.6368,-5.2148,0.4978
10.30,-91.5818,-5.1850,0.5038
10.40,-91.5253,-5.1536,0.5063
10.50,-91.4679,-5.1220,0.5133
10.60,-91.4115,-5.0907,0.5198
10.70,-91.3352,-5.0472,0.5195
10.80,-91.2752,-5.0129,0.5223
10.90,-91.2253,-4.9843,0.5277
11.00,-91.1682,-4.9514,0.5335
11.10,-91.1131,-4.9182,0.5375
11.20,-91.0578,-4.8850,0.5438
11.30,-91.0021,-4.8517,0.5477
11.40,-90.9524,-4.8211,0.5526
11.50,-90.8950,-4.7860,0.5559
11.60,-90.8410,-4.7513,0.5617
11.70,-90.7898,-4.7192,0.5660
11.80,-90.7364,-4.6838,0.5703
11.90,-90.6823,-4.6499,0.5755
12.00,-90.6312,-4.6158,0.5785
12.10,-90.5754,-4.5795,0.5861
12.20,-90.5244,-4.5470,0.5922
12.30,-90.4717,-4.5102,0.5961
12.40,-90.4163,-4.4735,0.6058
12.50,-90.3666,-4.4378,0.6095
12.60,-90.3164,-4.4034,0.6136
12.70,-90.2603,-4.3628,0.6213
12.80,-90.2097,-4.3251,0.6297
12.90,-90.2084,-4.3247,0.6298
13.00,-90.1435,-4.2790,0.6309
13.10,-90.0743,-4.2289,0.6284
13.20,-90.0046,-4.1781,0.6271
13.30,-89.9355,-4.1302,0.6250
13.40,-89.8651,-4.0790,0.6238
13.50,-89.7949,-4.0281,0.6256
13.60,-89.7242,-3.9775,0.6221
13.70,-89.6541,-3.9263,0.6198
13.80,-89.5842,-3.8761,0.6192
13.90,-89.5115,-3.8254,0.6159
14.00,-89.4408,-3.7753,0.6144
14.10,-89.3702,-3.7259,0.6116
14.20,-89.3004,-3.6773,0.6091
14.30,-89.2275,-3.6257,0.6101
14.40,-89.1583,-3.5763,0.6060
14.50,-89.0860,-3.5281,0.6033
14.60,-89.0147,-3.4790,0.6010
14.70,-88.9433,-3.4299,0.6009
14.80,-88.8715,-3.3811,0.5979
14.90,-88.7986,-3.3325,0.5952
15.00,-88.7280,-3.2847,0.5933
15.10,-88.6568,-3.2382,0.5914
15.20,-88.5830,-3.1893,0.5898
15.30,-88.5110,-3.1406,0.5852
15.40,-88.5036,-3.1350,0.5874
15.50,-88.4589,-3.1055,0.5727
15.60,-88.4101,-3.0766,0.5557
15.70,-88.3598,-3.0432,0.5466
15.80,-88.3090,-3.0136,0.5308
15.90,-88.2591,-2.9844,0.5190
16.00,-88.2044,-2.9534,0.5017
16.10,-88.1495,-2.9254,0.4892
16.20,-88.1008,-2.8974,0.4779
16.30,-88.0431,-2.8680,0.4650
16.40,-87.9916,-2.8423,0.4494
16.50,-87.9375,-2.8165,0.4381
16.60,-87.8849,-2.7912,0.4266
16.70,-87.8333,-2.7675,0.4119
16.80,-87.7789,-2.7428,0.4032
16.90,-87.7257,-2.7191,0.3835
17.00,-87.6693,-2.6981,0.3624
17.10,-87.6178,-2.6811,0.3477
17.20,-87.5588,-2.6604,0.3332
17.30,-87.5034,-2.6426,0.3210
17.40,-87.4472,-2.6234,0.3074
17.50,-87.3941,-2.6066,0.2938
17.60,-87.3357,-2.5888,0.2823
17.70,-87.2798,-2.5734,0.2693
17.80,-87.2210,-2.5576,0.2589
17.90,-87.1682,-2.5420,0.2500
18.00,-87.1064,-2.5254,0.2435
18.10,-87.0511,-2.5131,0.2319
18.20,-86.9911,-2.4982,0.2239
18.30,-86.9327,-2.4860,0.2163
18.40,-86.8745,-2.4729,0.2046
18.50,-86.8204,-2.4634,0.1923
18.60,-86.7613,-2.4525,0.1883
18.70,-86.6993,-2.4409,0.1693
18.80,-86.6409,-2.4321,0.1606
18.90,-86.5837,-2.4240,0.1519
19.00,-86.5760,-2.4229,0.1528
19.10,-86.5002,-2.4111,0.1485
19.20,-86.4155,-2.3986,0.1438
19.30,-86.3327,-2.3873,0.1404
19.40,-86.2474,-2.3756,0.1343
19.50,-86.1646,-2.3652,0.1312
19.60,-86.0788,-2.3545,0.1301
19.70,-85.9944,-2.3443,0.1260
19.80,-85.9101,-2.3338,0.1189
19.90,-85.8243,-2.3244,0.1144
20.00,-85.7391,-2.3151,0.1102
20.10,-85.6537,-2.3066,0.1076
20.20,-85.5899,-2.3005,0.0993
20.30,-85.5052,-2.2924,0.0968
20.40,-85.4432,-2.2866,0.0923
20.50,-85.3829,-2.2813,0.0876
20.60,-85.3214,-2.2765,0.0827
20.70,-85.2607,-2.2719,0.0750
20.80,-85.1985,-2.2677,0.0734
20.90,-85.1396,-2.2636,0.0682
21.00,-85.0771,-2.2595,0.0623
21.10,-85.0173,-2.2562,0.0597
21.20,-84.9554,-2.2531,0.0514
21.30,-84.8961,-2.2500,0.0458
21.40,-84.8346,-2.2482,0.0377
21.50,-84.7733,-2.2455,0.0330
21.60,-84.7108,-2.2449,0.0234
21.70,-84.6488,-2.2436,0.0132
21.80,-84.5876,-2.2434,0.0072
21.90,-84.5260,-2.2429,0.0009
22.00,-84.5217,-2.2425,-0.0003
22.10,-84.4434,-2.2431,-0.0001
22.20,-84.3572,-2.2424,0.0000
22.30,-84.2684,-2.2427,0.0004
22.40,-84.1817,-2.2429,-0.0004
22.50,-84.0948,-2.2435,-0.0003
22.60,-84.0072,-2.2442,0.0021
22.70,-83.9185,-2.2440,0.0014
22.80,-83.8313,-2.2446,0.0029
22.90,-83.7434,-2.2435,0.0030
23.00,-83.6548,-2.2431,0.0045
23.10,-83.5685,-2.2437,0.0053
23.20,-83.4796,-2.2424,0.0075
23.30,-83.3903,-2.2417,0.0086
23.40,-83.3043,-2.2418,0.0094
23.50,-83.2147,-2.2401,0.0086
23.60,-83.1266,-2.2392,0.0096
23.70,-83.0401,-2.2406,0.0110
23.80,-82.9512,-2.2388,0.0120
23.90,-82.8631,-2.2386,0.0149
24.00,-82.7766,-2.2374,0.0161
24.10,-82.6892,-2.2371,0.0177
24.20,-82.5984,-2.2338,0.0185
24.30,-82.5124,-2.2325,0.0217
24.40,-82.5012,-2.2326,0.0216
24.50,-82.4222,-2.2305,0.0246
