t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776745510.4655745,25.1,-3.134825,16.660433,0.175362,0.703601,0.081947,-0.043298,-0.704525,-79.72573852539062,-1.907613754272461
1776745510.565779,25.1,-3.134825,16.660433,0.175362,0.703601,0.081947,-0.043298,-0.704525,-79.72573852539062,-1.907613754272461
1776745510.6659932,25.1,-3.134825,16.660433,0.175362,0.703601,0.081947,-0.043298,-0.704525,-79.72573852539062,-1.907613754272461
1776745510.7664485,25.1,-3.134825,16.660433,0.175362,0.703601,0.081947,-0.043298,-0.704525,-79.6444320678711,-1.8857522010803223
1776745510.8666513,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745510.9668388,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745511.0670893,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745511.167353,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745511.267554,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745511.3677595,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.6444320678711,-1.8857522010803223
1776745511.467977,25.2,-3.148002,16.74235,0.176043,0.703687,0.081055,-0.042549,-0.704588,-79.56270599365234,-1.86332368850708
1776745511.568182,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.56270599365234,-1.86332368850708
1776745511.668389,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.56270599365234,-1.86332368850708
1776745511.7686014,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.56270599365234,-1.86332368850708
1776745511.8688345,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.56270599365234,-1.86332368850708
1776745511.9691126,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.56270599365234,-1.86332368850708
1776745512.0693436,25.3,-3.162178,16.817287,0.179579,0.703867,0.080269,-0.041063,-0.704586,-79.47900390625,-1.841365933418274
1776745512.1695597,25.4,-3.173061,16.902315,0.178179,0.703902,0.079127,-0.040341,-0.704723,-79.47900390625,-1.841365933418274
1776745512.2697878,25.4,-3.173061,16.902315,0.178179,0.703902,0.079127,-0.040341,-0.704723,-79.47900390625,-1.841365933418274
1776745512.3700128,25.4,-3.173061,16.902315,0.178179,0.703902,0.079127,-0.040341,-0.704723,-79.47900390625,-1.841365933418274
1776745512.4702473,25.4,-3.173061,16.902315,0.178179,0.703902,0.079127,-0.040341,-0.704723,-79.47900390625,-1.841365933418274
1776745512.5705183,25.4,-3.173061,16.902315,0.178179,0.703902,0.079127,-0.040341,-0.704723,-79.47900390625,-1.841365933418274
