t,x,y,yaw
5.10,-94.9452,-5.9901,0.0838
5.20,-94.8701,-5.9838,0.0855
5.30,-94.7818,-5.9751,0.0887
5.40,-94.6932,-5.9664,0.0912
5.50,-94.6078,-5.9614,0.0915
5.60,-94.5206,-5.9524,0.0937
5.70,-94.4316,-5.9449,0.0955
5.80,-94.3456,-5.9370,0.0979
5.90,-94.2584,-5.9294,0.0982
6.00,-94.1711,-5.9222,0.0983
6.10,-94.0850,-5.9142,0.0982
6.20,-93.9986,-5.9048,0.1008
6.30,-93.9131,-5.8990,0.1018
6.40,-93.8274,-5.8898,0.1048
6.50,-93.7411,-5.8821,0.1079
6.60,-93.6532,-5.8729,0.1098
6.70,-93.5671,-5.8627,0.1117
6.80,-93.4803,-5.8547,0.1145
6.90,-93.3921,-5.8450,0.1168
7.00,-93.3085,-5.8357,0.1197
7.10,-93.2195,-5.8249,0.1186
7.20,-93.1296,-5.8150,0.1217
7.30,-93.0448,-5.8047,0.1238
7.40,-92.9578,-5.7940,0.1236
7.50,-92.8673,-5.7839,0.1267
7.60,-92.7817,-5.7726,0.1292
7.70,-92.6929,-5.7598,0.1290
7.80,-92.6063,-5.7500,0.1314
7.90,-92.5202,-5.7388,0.1336
8.00,-92.4323,-5.7270,0.1350
8.10,-92.3451,-5.7156,0.1360
8.20,-92.2585,-5.7038,0.1386
8.30,-92.1724,-5.6924,0.1403
8.40,-92.0845,-5.6789,0.1426
8.50,-91.9995,-5.6667,0.1440
8.60,-91.9131,-5.6545,0.1450
8.70,-91.8277,-5.6417,0.1460
8.80,-91.7406,-5.6294,0.1446
8.90,-91.6559,-5.6171,0.1466
9.00,-91.5713,-5.6040,0.1474
9.10,-91.4867,-5.5922,0.1492
9.20,-91.4007,-5.5791,0.1493
9.30,-91.3133,-5.5671,0.1496
9.40,-91.2270,-5.5553,0.1513
9.50,-91.1405,-5.5413,0.1539
9.60,-91.0524,-5.5281,0.1538
9.70,-90.9657,-5.5150,0.1533
9.80,-90.8784,-5.5010,0.1552
9.90,-90.7912,-5.4887,0.1564
10.00,-90.7038,-5.4746,0.1606
10.10,-90.6154,-5.4600,0.1627
10.20,-90.5280,-5.4462,0.1633
10.30,-90.4417,-5.4327,0.1664
10.40,-90.3549,-5.4171,0.1679
10.50,-90.2679,-5.4031,0.1701
10.60,-90.1808,-5.3882,0.1721
10.70,-90.0935,-5.3724,0.1734
10.80,-90.0068,-5.3568,0.1778
10.90,-89.9211,-5.3423,0.1788
11.00,-89.8334,-5.3258,0.1825
11.10,-89.8278,-5.3244,0.1807
11.20,-89.7735,-5.3138,0.1901
11.30,-89.7072,-5.3001,0.1957
11.40,-89.6466,-5.2900,0.2009
11.50,-89.5837,-5.2761,0.2058
11.60,-89.5209,-5.2645,0.2100
11.70,-89.4550,-5.2504,0.2171
11.80,-89.3920,-5.2373,0.2260
11.90,-89.3301,-5.2228,0.2296
12.00,-89.2688,-5.2077,0.2341
12.10,-89.2071,-5.1930,0.2393
12.20,-89.1451,-5.1794,0.2450
12.30,-89.0813,-5.1627,0.2507
12.40,-89.0197,-5.1476,0.2553
12.50,-88.9563,-5.1314,0.2583
12.60,-88.8942,-5.1150,0.2622
12.70,-88.8305,-5.0980,0.2668
12.80,-88.7700,-5.0815,0.2737
12.90,-88.7075,-5.0646,0.2799
13.00,-88.6458,-5.0469,0.2849
13.10,-88.5831,-5.0272,0.2889
13.20,-88.5242,-5.0103,0.2931
13.30,-88.4616,-4.9906,0.2977
13.40,-88.3992,-4.9721,0.3049
13.50,-88.3361,-4.9510,0.3077
13.60,-88.2787,-4.9332,0.3115
13.70,-88.2161,-4.9139,0.3183
13.80,-88.1565,-4.8944,0.3221
13.90,-88.0949,-4.8735,0.3301
14.00,-88.0315,-4.8512,0.3381
14.10,-87.9706,-4.8301,0.3431
14.20,-87.9096,-4.8074,0.3514
14.30,-87.9039,-4.8057,0.3517
14.40,-87.8328,-4.7799,0.3568
14.50,-87.7510,-4.7498,0.3577
14.60,-87.6689,-4.7177,0.3608
14.70,-87.5863,-4.6866,0.3658
14.80,-87.5069,-4.6555,0.3688
14.90,-87.4262,-4.6256,0.3693
15.00,-87.3455,-4.5943,0.3729
15.10,-87.2655,-4.5647,0.3735
15.20,-87.1834,-4.5321,0.3776
15.30,-87.0993,-4.4998,0.3811
15.40,-87.0211,-4.4697,0.3818
15.50,-86.9385,-4.4364,0.3854
15.60,-86.8570,-4.4038,0.3904
15.70,-86.7773,-4.3723,0.3942
15.80,-86.6941,-4.3381,0.3994
15.90,-86.6134,-4.3043,0.4006
16.00,-86.5535,-4.2775,0.4049
16.10,-86.4956,-4.2539,0.4112
16.20,-86.4376,-4.2274,0.4141
16.30,-86.3840,-4.2032,0.4194
16.40,-86.3236,-4.1771,0.4248
16.50,-86.2619,-4.1479,0.4291
16.60,-86.2071,-4.1250,0.4360
16.70,-86.1486,-4.0970,0.4422
16.80,-86.0879,-4.0685,0.4512
16.90,-86.0325,-4.0419,0.4572
17.00,-86.0252,-4.0383,0.4565
17.10,-85.9550,-4.0044,0.4559
17.20,-85.8798,-3.9676,0.4570
17.30,-85.8025,-3.9313,0.4562
17.40,-85.7212,-3.8906,0.4566
17.50,-85.6460,-3.8549,0.4565
17.60,-85.5669,-3.8145,0.4582
17.70,-85.4895,-3.7769,0.4593
17.80,-85.4113,-3.7365,0.4587
17.90,-85.3320,-3.6984,0.4599
18.00,-85.2534,-3.6597,0.4600
18.10,-85.1769,-3.6219,0.4608
18.20,-85.0968,-3.5821,0.4612
18.30,-85.0197,-3.5442,0.4631
18.40,-84.9422,-3.5049,0.4621
18.50,-84.8631,-3.4654,0.4632
18.60,-84.7845,-3.4264,0.4635
18.70,-84.7076,-3.3868,0.4655
18.80,-84.6291,-3.3490,0.4663
18.90,-84.5509,-3.3093,0.4664
19.00,-84.4734,-3.2701,0.4661
19.10,-84.3961,-3.2312,0.4663
19.20,-84.3170,-3.1925,0.4648
19.30,-84.2382,-3.1532,0.4659
19.40,-84.2338,-3.1500,0.4663
19.50,-84.1655,-3.1187,0.4628
19.60,-84.0885,-3.0808,0.4602
19.70,-84.0105,-3.0424,0.4598
19.80,-83.9310,-3.0019,0.4587
19.90,-83.8543,-2.9653,0.4560
20.00,-83.7766,-2.9270,0.4558
20.10,-83.6978,-2.8892,0.4532
20.20,-83.6203,-2.8512,0.4506
20.30,-83.5414,-2.8138,0.4507
20.40,-83.4619,-2.7743,0.4492
20.50,-83.3858,-2.7379,0.4457
20.60,-83.3066,-2.7009,0.4430
20.70,-83.2268,-2.6636,0.4414
20.80,-83.1496,-2.6272,0.4381
20.90,-83.0700,-2.5908,0.4369
21.00,-82.9921,-2.5542,0.4349
21.10,-82.9147,-2.5191,0.4334
21.20,-82.8350,-2.4817,0.4331
21.30,-82.7560,-2.4460,0.4291
21.40,-82.6794,-2.4113,0.4287
21.50,-82.6003,-2.3757,0.4274
21.60,-82.5200,-2.3384,0.4257
21.70,-82.4415,-2.3035,0.4225
21.80,-82.4373,-2.3010,0.4237
21.90,-82.3675,-2.2712,0.4179
22.00,-82.2896,-2.2362,0.4149
22.10,-82.2118,-2.2020,0.4128
22.20,-82.1333,-2.1683,0.4103
22.30,-82.0569,-2.1356,0.4077
22.40,-81.9764,-2.1008,0.4009
22.50,-81.8976,-2.0684,0.3980
22.60,-81.8206,-2.0380,0.3925
22.70,-81.7405,-2.0047,0.3890
22.80,-81.6607,-1.9727,0.3839
22.90,-81.5817,-1.9412,0.3835
23.00,-81.5022,-1.9095,0.3797
23.10,-81.4243,-1.8797,0.3761
23.20,-81.3435,-1.8483,0.3691
23.30,-81.2639,-1.8174,0.3669
23.40,-81.1837,-1.7875,0.3598
23.50,-81.1058,-1.7589,0.3560
23.60,-81.0261,-1.7295,0.3494
23.70,-80.9449,-1.7004,0.3444
23.80,-80.8646,-1.6723,0.3397
23.90,-80.7856,-1.6451,0.3362
24.00,-80.7282,-1.6257,0.3312
24.10,-80.6733,-1.6069,0.3253
24.20,-80.6157,-1.5885,0.3183
24.30,-80.5588,-1.5696,0.3165
24.40,-80.5533,-1.5680,0.3172
24.50,-80.4798,-1.5444,0.3156
24.60,-80.3996,-1.5194,0.3100
24.70,-80.3185,-1.4952,0.3043
24.80,-80.2376,-1.4698,0.3021
24.90,-80.1556,-1.4450,0.2982
25.00,-80.0726,-1.4207,0.2939
25.10,-79.9916,-1.3958,0.2896
25.20,-79.9107,-1.3729,0.2838
25.30,-79.8310,-1.3497,0.2809
25.40,-79.7467,-1.3256,0.2785
25.50,-79.6646,-1.3029,0.2732
25.60,-79.5827,-1.2795,0.2694
25.70,-79.4979,-1.2573,0.2640
25.80,-79.4166,-1.2346,0.2604
25.90,-79.3339,-1.2123,0.2543
26.00,-79.2516,-1.1920,0.2501
26.10,-79.1902,-1.1773,0.2435
26.20,-79.1096,-1.1584,0.2386
26.30,-79.0467,-1.1434,0.2298
26.40,-78.9663,-1.1255,0.2253
26.50,-78.9032,-1.1115,0.2169
26.60,-78.8466,-1.0979,0.2104
26.70,-78.7850,-1.0864,0.2067
26.80,-78.7287,-1.0750,0.1958
26.90,-78.6690,-1.0639,0.1893
27.00,-78.6085,-1.0525,0.1854
27.10,-78.5513,-1.0429,0.1797
27.20,-78.5432,-1.0414,0.1809
27.30,-78.4677,-1.0280,0.1787
27.40,-78.3845,-1.0130,0.1750
27.50,-78.2998,-0.9990,0.1743
27.60,-78.2137,-0.9831,0.1729
27.70,-78.1294,-0.9691,0.1698
27.80,-78.0433,-0.9545,0.1682
27.90,-77.9593,-0.9396,0.1647
28.00,-77.8745,-0.9257,0.1625
28.10,-77.7885,-0.9126,0.1602
28.20,-77.7032,-0.8992,0.1567
28.30,-77.6174,-0.8860,0.1537
28.40,-77.5331,-0.8736,0.1509
28.50,-77.4472,-0.8612,0.1478
28.60,-77.3621,-0.8487,0.1460
28.70,-77.2763,-0.8375,0.1432
28.80,-77.1898,-0.8251,0.1411
28.90,-77.1074,-0.8133,0.1392
29.00,-77.0223,-0.8011,0.1374
29.10,-76.9356,-0.7892,0.1353
29.20,-76.8516,-0.7789,0.1310
29.30,-76.7658,-0.7680,0.1298
29.40,-76.6813,-0.7568,0.1270
29.50,-76.5965,-0.7465,0.1240
29.60,-76.5866,-0.7459,0.1253
29.70,-76.5094,-0.7362,0.1231
29.80,-76.4250,-0.7251,0.1212
29.90,-76.3379,-0.7147,0.1197
30.00,-76.2536,-0.7052,0.1180
30.10,-76.1688,-0.6963,0.1148
30.20,-76.0823,-0.6854,0.1138
30.30,-75.9966,-0.6762,0.1125
30.40,-75.9121,-0.6666,0.1121
30.50,-75.8254,-0.6566,0.1102
30.60,-75.7385,-0.6481,0.1092
30.70,-75.6543,-0.6386,0.1067
30.80,-75.5692,-0.6300,0.1041
30.90,-75.4824,-0.6217,0.1015
31.00,-75.3973,-0.6138,0.0989
31.10,-75.3115,-0.6056,0.0973
31.20,-75.2253,-0.5977,0.0955
31.30,-75.1392,-0.5884,0.0931
31.40,-75.0527,-0.5808,0.0918
31.50,-74.9677,-0.5735,0.0893
31.60,-74.8842,-0.5675,0.0869
31.70,-74.7958,-0.5579,0.0854
31.80,-74.7110,-0.5514,0.0820
31.90,-74.6252,-0.5452,0.0807
32.00,-74.5395,-0.5377,0.0793
32.10,-74.5279,-0.5369,0.0798
32.20,-74.4518,-0.5318,0.0790
32.30,-74.3653,-0.5248,0.0787
32.40,-74.2791,-0.5189,0.0772
32.50,-74.1936,-0.5116,0.0768
32.60,-74.1062,-0.5050,0.0771
32.70,-74.0200,-0.4988,0.0753
32.80,-73.9356,-0.4935,0.0748
32.90,-73.8491,-0.4868,0.0733
33.00,-73.7617,-0.4800,0.0711
33.10,-73.6760,-0.4739,0.0705
33.20,-73.5904,-0.4689,0.0691
33.30,-73.5022,-0.4622,0.0695
33.40,-73.4184,-0.4573,0.0656
33.50,-73.3304,-0.4519,0.0646
33.60,-73.2424,-0.4452,0.0628
33.70,-73.1579,-0.4411,0.0616
33.80,-73.0706,-0.4352,0.0587
33.90,-72.9838,-0.4301,0.0581
34.00,-72.8989,-0.4255,0.0557
34.10,-72.8126,-0.4213,0.0545
34.20,-72.7274,-0.4166,0.0539
34.30,-72.6430,-0.4127,0.0487
34.40,-72.5541,-0.4078,0.0469
34.50,-72.5522,-0.4076,0.0482
34.60,-72.4787,-0.4047,0.0470
34.70,-72.3922,-0.4006,0.0437
34.80,-72.3074,-0.3971,0.0425
34.90,-72.2213,-0.3932,0.0412
35.00,-72.1348,-0.3898,0.0383
35.10,-72.0467,-0.3869,0.0362
35.20,-71.9628,-0.3838,0.0348
35.30,-71.8762,-0.3814,0.0317
35.40,-71.7898,-0.3790,0.0302
35.50,-71.7034,-0.3760,0.0306
35.60,-71.6179,-0.3739,0.0269
35.70,-71.5305,-0.3716,0.0249
35.80,-71.4442,-0.3696,0.0242
35.90,-71.3577,-0.3677,0.0216
36.00,-71.2714,-0.3664,0.0201
36.10,-71.1864,-0.3645,0.0170
36.20,-71.1009,-0.3642,0.0132
36.30,-71.0136,-0.3623,0.0142
36.40,-70.9280,-0.3615,0.0116
36.50,-70.8400,-0.3614,0.0062
36.60,-70.7547,-0.3614,0.0020
36.70,-70.6679,-0.3610,0.0013
36.80,-70.5820,-0.3615,-0.0026
36.90,-70.5727,-0.3613,-0.0033
37.00,-70.4948,-0.3617,-0.0057
37.10,-70.4092,-0.3633,-0.0075
37.20,-70.3235,-0.3654,-0.0125
37.30,-70.2382,-0.3661,-0.0147
37.40,-70.1515,-0.3681,-0.0161
37.50,-70.0654,-0.3704,-0.0190
37.60,-69.9799,-0.3717,-0.0207
37.70,-69.8929,-0.3738,-0.0234
37.80,-69.8068,-0.3768,-0.0260
37.90,-69.7214,-0.3797,-0.0274
38.00,-69.6346,-0.3824,-0.0295
38.10,-69.5489,-0.3854,-0.0322
38.20,-69.4629,-0.3879,-0.0330
38.30,-69.3774,-0.3919,-0.0349
38.40,-69.2932,-0.3957,-0.0377
38.50,-69.2086,-0.3983,-0.0399
38.60,-69.1188,-0.4021,-0.0409
38.70,-69.0342,-0.4063,-0.0442
38.80,-68.9475,-0.4096,-0.0452
38.90,-68.8608,-0.4144,-0.0506
39.00,-68.7750,-0.4199,-0.0540
39.10,-68.6905,-0.4253,-0.0591
39.20,-68.6047,-0.4301,-0.0628
39.30,-68.5203,-0.4359,-0.0671
39.40,-68.5092,-0.4375,-0.0675
39.50,-68.4322,-0.4429,-0.0702
39.60,-68.3461,-0.4495,-0.0738
39.70,-68.2619,-0.4561,-0.0740
39.80,-68.1760,-0.4629,-0.0759
39.90,-68.0898,-0.4696,-0.0796
40.00,-68.0056,-0.4770,-0.0820
40.10,-67.9186,-0.4841,-0.0857
40.20,-67.8328,-0.4927,-0.0900
40.30,-67.7460,-0.5013,-0.0936
40.40,-67.6624,-0.5092,-0.0962
40.50,-67.5753,-0.5179,-0.1002
40.60,-67.4909,-0.5269,-0.1025
40.70,-67.4066,-0.5357,-0.1044
40.80,-67.3217,-0.5454,-0.1057
40.90,-67.2379,-0.5541,-0.1070
41.00,-67.1517,-0.5635,-0.1106
41.10,-67.0659,-0.5732,-0.1120
41.20,-66.9826,-0.5829,-0.1162
41.30,-66.8964,-0.5932,-0.1202
41.40,-66.8103,-0.6035,-0.1233
41.50,-66.7257,-0.6147,-0.1245
41.60,-66.6399,-0.6260,-0.1283
41.70,-66.5541,-0.6382,-0.1318
41.80,-66.5448,-0.6396,-0.1311
41.90,-66.4671,-0.6503,-0.1326
42.00,-66.3819,-0.6617,-0.1354
42.10,-66.2974,-0.6737,-0.1349
42.20,-66.2105,-0.6860,-0.1360
42.30,-66.1254,-0.6976,-0.1382
42.40,-66.0397,-0.7102,-0.1408
42.50,-65.9555,-0.7215,-0.1411
42.60,-65.8700,-0.7343,-0.1425
42.70,-65.7858,-0.7473,-0.1458
42.80,-65.7003,-0.7600,-0.1476
42.90,-65.6136,-0.7730,-0.1496
43.00,-65.5298,-0.7864,-0.1513
43.10,-65.4432,-0.8007,-0.1529
43.20,-65.3572,-0.8135,-0.1538
43.30,-65.2747,-0.8264,-0.1560
43.40,-65.1888,-0.8411,-0.1590
43.50,-65.1017,-0.8548,-0.1604
43.60,-65.0185,-0.8692,-0.1629
43.70,-64.9333,-0.8840,-0.1672
43.80,-64.8480,-0.8983,-0.1670
43.90,-64.7644,-0.9119,-0.1712
44.00,-64.6791,-0.9287,-0.1750
44.10,-64.5930,-0.9438,-0.1783
44.20,-64.5887,-0.9440,-0.1792
44.30,-64.5106,-0.9592,-0.1802
44.40,-64.4267,-0.9747,-0.1808
44.50,-64.3415,-0.9904,-0.1819
44.60,-64.2571,-1.0054,-0.1834
44.70,-64.1720,-1.0230,-0.1866
44.80,-64.0873,-1.0387,-0.1887
44.90,-64.0012,-1.0557,-0.1929
45.00,-63.9173,-1.0727,-0.1932
45.10,-63.8334,-1.0893,-0.1939
45.20,-63.7480,-1.1065,-0.1955
45.30,-63.6626,-1.1243,-0.1989
45.40,-63.5798,-1.1411,-0.2009
45.50,-63.4946,-1.1602,-0.2041
45.60,-63.4089,-1.1776,-0.2044
45.70,-63.3257,-1.1957,-0.2079
45.80,-63.2397,-1.2140,-0.2093
45.90,-63.1566,-1.2313,-0.2110
46.00,-63.0729,-1.2503,-0.2142
46.10,-62.9883,-1.2685,-0.2165
46.20,-62.9042,-1.2877,-0.2197
46.30,-62.8203,-1.3072,-0.2238
46.40,-62.7350,-1.3259,-0.2253
46.50,-62.6499,-1.3471,-0.2282
46.60,-62.5666,-1.3674,-0.2310
46.70,-62.5546,-1.3697,-0.2309
46.80,-62.4780,-1.3886,-0.2343
46.90,-62.3919,-1.4095,-0.2362
47.00,-62.3081,-1.4294,-0.2369
47.10,-62.2223,-1.4495,-0.2383
47.20,-62.1394,-1.4701,-0.2401
47.30,-62.0570,-1.4903,-0.2420
47.40,-61.9725,-1.5119,-0.2429
47.50,-61.8901,-1.5323,-0.2450
47.60,-61.8063,-1.5538,-0.2458
47.70,-61.7212,-1.5756,-0.2482
47.80,-61.6401,-1.5962,-0.2467
47.90,-61.5567,-1.6183,-0.2478
48.00,-61.4719,-1.6394,-0.2490
48.10,-61.3903,-1.6602,-0.2495
48.20,-61.3061,-1.6816,-0.2495
48.30,-61.2227,-1.7030,-0.2518
48.40,-61.1404,-1.7248,-0.2507
48.50,-61.0549,-1.7469,-0.2525
48.60,-60.9706,-1.7678,-0.2543
48.70,-60.8887,-1.7899,-0.2545
48.80,-60.8029,-1.8108,-0.2581
48.90,-60.7202,-1.8338,-0.2604
49.00,-60.6374,-1.8568,-0.2608
49.10,-60.6378,-1.8570,-0.2598
49.20,-60.5616,-1.8776,-0.2621
49.30,-60.4774,-1.8983,-0.2619
49.40,-60.3978,-1.9206,-0.2606
49.50,-60.3108,-1.9427,-0.2585
49.60,-60.2283,-1.9651,-0.2579
49.70,-60.1432,-1.9874,-0.2612
49.80,-60.0604,-2.0101,-0.2603
49.90,-59.9772,-2.0323,-0.2611
50.00,-59.8940,-2.0553,-0.2617
50.10,-59.8112,-2.0784,-0.2623
50.20,-59.7280,-2.0996,-0.2610
50.30,-59.6458,-2.1234,-0.2626
50.40,-59.5610,-2.1451,-0.2635
50.50,-59.4803,-2.1669,-0.2641
50.60,-59.3960,-2.1890,-0.2615
50.70,-59.3145,-2.2114,-0.2615
50.80,-59.2325,-2.2332,-0.2611
50.90,-59.1485,-2.2553,-0.2617
51.00,-59.0646,-2.2768,-0.2616
51.10,-58.9842,-2.2996,-0.2614
51.20,-58.8990,-2.3216,-0.2623
51.30,-58.8156,-2.3440,-0.2615
51.40,-58.7327,-2.3667,-0.2637
51.50,-58.7281,-2.3680,-0.2646
51.60,-58.6537,-2.3872,-0.2638
51.70,-58.5720,-2.4105,-0.2667
51.80,-58.4908,-2.4325,-0.2684
51.90,-58.4078,-2.4564,-0.2701
52.00,-58.3226,-2.4791,-0.2715
52.10,-58.2425,-2.5032,-0.2727
52.20,-58.1590,-2.5262,-0.2740
52.30,-58.0777,-2.5506,-0.2765
52.40,-57.9940,-2.5738,-0.2765
52.50,-57.9101,-2.5970,-0.2781
52.60,-57.8299,-2.6211,-0.2789
52.70,-57.7473,-2.6450,-0.2812
52.80,-57.6630,-2.6694,-0.2832
52.90,-57.5821,-2.6932,-0.2828
53.00,-57.4994,-2.7162,-0.2839
53.10,-57.4155,-2.7409,-0.2842
53.20,-57.3346,-2.7648,-0.2842
53.30,-57.2508,-2.7894,-0.2847
53.40,-57.1685,-2.8145,-0.2861
53.50,-57.0865,-2.8396,-0.2860
53.60,-57.0043,-2.8642,-0.2880
53.70,-56.9216,-2.8900,-0.2904
53.80,-56.8402,-2.9149,-0.2920
53.90,-56.7553,-2.9406,-0.2909
54.00,-56.7481,-2.9435,-0.2897
54.10,-56.6748,-2.9657,-0.2915
54.20,-56.5899,-2.9916,-0.2907
54.30,-56.5076,-3.0169,-0.2936
54.40,-56.4253,-3.0421,-0.2945
54.50,-56.3401,-3.0691,-0.2963
54.60,-56.2574,-3.0944,-0.2970
54.70,-56.1748,-3.1205,-0.2975
54.80,-56.0935,-3.1461,-0.2986
54.90,-56.0129,-3.1717,-0.3011
55.00,-55.9313,-3.1983,-0.3044
55.10,-55.8483,-3.2236,-0.3056
55.20,-55.7658,-3.2507,-0.3054
55.30,-55.6844,-3.2776,-0.3057
55.40,-55.6027,-3.3037,-0.3065
55.50,-55.5184,-3.3301,-0.3072
55.60,-55.4381,-3.3580,-0.3079
55.70,-55.3559,-3.3857,-0.3111
55.80,-55.2751,-3.4115,-0.3113
55.90,-55.1910,-3.4391,-0.3110
56.00,-55.1080,-3.4688,-0.3137
56.10,-55.0240,-3.4964,-0.3149
