t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776754742.7854395,25.1,-3.661769,16.526815,0.264605,0.703745,0.077232,-0.068611,-0.702902,-79.9107437133789,-1.372863531112671
1776754742.8856874,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.9107437133789,-1.372863531112671
1776754742.9859307,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.9107437133789,-1.372863531112671
1776754743.086145,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.9107437133789,-1.372863531112671
1776754743.1863587,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.9107437133789,-1.372863531112671
1776754743.2865639,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.9107437133789,-1.372863531112671
1776754743.386757,25.2,-3.677884,16.610252,0.262478,0.703764,0.075603,-0.067074,-0.703208,-79.83100128173828,-1.3496750593185425
1776754743.4869883,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.83100128173828,-1.3496750593185425
1776754743.5872126,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.83100128173828,-1.3496750593185425
1776754743.6874273,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.83100128173828,-1.3496750593185425
1776754743.7876184,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.83100128173828,-1.3496750593185425
1776754743.887818,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.83100128173828,-1.3496750593185425
1776754743.9882307,25.3,-3.691029,16.688007,0.263586,0.703922,0.073714,-0.064834,-0.703461,-79.74671936035156,-1.3256378173828125
1776754744.0884433,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.74671936035156,-1.3256378173828125
1776754744.1886394,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.74671936035156,-1.3256378173828125
1776754744.2888305,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.74671936035156,-1.3256378173828125
1776754744.3890254,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.74671936035156,-1.3256378173828125
1776754744.4893723,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.74671936035156,-1.3256378173828125
1776754744.5896506,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.66460418701172,-1.3028955459594727
1776754744.6898751,25.4,-3.709439,16.779173,0.261303,0.703968,0.072692,-0.063843,-0.703612,-79.66460418701172,-1.3028955459594727
1776754744.7900832,25.5,-3.724624,16.864445,0.26276,0.70398,0.071876,-0.062918,-0.703767,-79.66460418701172,-1.3028955459594727
1776754744.8902814,25.5,-3.724624,16.864445,0.26276,0.70398,0.071876,-0.062918,-0.703767,-79.66460418701172,-1.3028955459594727
1776754744.9904873,25.5,-3.724624,16.864445,0.26276,0.70398,0.071876,-0.062918,-0.703767,-79.66460418701172,-1.3028955459594727
1776754745.0906708,25.5,-3.724624,16.864445,0.26276,0.70398,0.071876,-0.062918,-0.703767,-79.66460418701172,-1.3028955459594727
1776754745.2910676,25.5,-3.724624,16.864445,0.26276,0.70398,0.071876,-0.062918,-0.703767,-79.58271789550781,-1.2795131206512451
1776754745.3912678,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.58271789550781,-1.2795131206512451
1776754745.4914415,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.58271789550781,-1.2795131206512451
1776754745.5916247,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.58271789550781,-1.2795131206512451
1776754745.6918285,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.58271789550781,-1.2795131206512451
1776754745.7919726,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.58271789550781,-1.2795131206512451
1776754745.892187,25.6,-3.738635,16.948746,0.262304,0.704177,0.06972,-0.061181,-0.70394,-79.49786376953125,-1.2572907209396362
1776754745.9924204,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.49786376953125,-1.2572907209396362
1776754746.0925891,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.49786376953125,-1.2572907209396362
1776754746.1928134,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.49786376953125,-1.2572907209396362
1776754746.2929938,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.49786376953125,-1.2572907209396362
1776754746.3931968,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.49786376953125,-1.2572907209396362
1776754746.4933958,25.7,-3.753915,17.032885,0.263514,0.704249,0.068414,-0.059741,-0.704119,-79.4166488647461,-1.2346155643463135
1776754746.593606,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.6937861,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.793979,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.8942215,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.9944308,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754747.0946171,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.33391571044922,-1.212315559387207
1776754747.1948066,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
