t,x,y,yaw
5.10,-94.9452,-5.9901,0.0838
5.20,-94.8687,-5.9838,0.0855
5.30,-94.7806,-5.9750,0.0888
5.40,-94.6932,-5.9664,0.0913
5.50,-94.6066,-5.9614,0.0915
5.60,-94.5192,-5.9523,0.0937
5.70,-94.4316,-5.9448,0.0959
5.80,-94.3444,-5.9368,0.0982
5.90,-94.2573,-5.9291,0.0986
6.00,-94.1712,-5.9220,0.0987
6.10,-94.0838,-5.9139,0.0987
6.20,-93.9976,-5.9043,0.1008
6.30,-93.9136,-5.8989,0.1021
6.40,-93.8268,-5.8895,0.1053
6.50,-93.7405,-5.8816,0.1086
6.60,-93.6539,-5.8725,0.1103
6.70,-93.5665,-5.8619,0.1119
6.80,-93.4798,-5.8539,0.1149
6.90,-93.3929,-5.8443,0.1172
7.00,-93.3082,-5.8350,0.1206
7.10,-93.2191,-5.8242,0.1200
7.20,-93.1306,-5.8143,0.1230
7.30,-93.0447,-5.8038,0.1258
7.40,-92.9578,-5.7931,0.1254
7.50,-92.8687,-5.7830,0.1285
7.60,-92.7821,-5.7713,0.1312
7.70,-92.6936,-5.7586,0.1311
7.80,-92.6084,-5.7487,0.1333
7.90,-92.5208,-5.7370,0.1357
8.00,-92.4327,-5.7246,0.1375
8.10,-92.3466,-5.7130,0.1383
8.20,-92.2587,-5.7008,0.1410
8.30,-92.1722,-5.6890,0.1422
8.40,-92.0859,-5.6757,0.1445
8.50,-91.9992,-5.6631,0.1461
8.60,-91.9134,-5.6506,0.1470
8.70,-91.8296,-5.6380,0.1478
8.80,-91.7410,-5.6251,0.1462
8.90,-91.6561,-5.6127,0.1486
9.00,-91.5725,-5.5999,0.1494
9.10,-91.4867,-5.5876,0.1504
9.20,-91.4007,-5.5744,0.1505
9.30,-91.3144,-5.5621,0.1509
9.40,-91.2263,-5.5499,0.1522
9.50,-91.1401,-5.5358,0.1538
9.60,-91.0534,-5.5229,0.1542
9.70,-90.9649,-5.5098,0.1552
9.80,-90.8768,-5.4960,0.1565
9.90,-90.7920,-5.4840,0.1572
10.00,-90.7032,-5.4701,0.1599
10.10,-90.6149,-5.4554,0.1623
10.20,-90.5295,-5.4415,0.1648
10.30,-90.4418,-5.4279,0.1684
10.40,-90.3543,-5.4122,0.1695
10.50,-90.2687,-5.3978,0.1710
10.60,-90.1812,-5.3825,0.1726
10.70,-90.0942,-5.3672,0.1752
10.80,-90.0088,-5.3522,0.1765
10.90,-89.9215,-5.3369,0.1789
11.00,-89.8319,-5.3204,0.1835
11.10,-89.8251,-5.3189,0.1836
11.20,-89.7694,-5.3093,0.1920
11.30,-89.7032,-5.2963,0.1962
11.40,-89.6412,-5.2849,0.1991
11.50,-89.5792,-5.2720,0.2038
11.60,-89.5141,-5.2594,0.2107
11.70,-89.4497,-5.2450,0.2146
11.80,-89.3866,-5.2317,0.2228
11.90,-89.3241,-5.2171,0.2254
12.00,-89.2621,-5.2026,0.2305
12.10,-89.1995,-5.1882,0.2359
12.20,-89.1375,-5.1746,0.2427
12.30,-89.0756,-5.1592,0.2461
12.40,-89.0128,-5.1435,0.2506
12.50,-88.9487,-5.1283,0.2552
12.60,-88.8857,-5.1113,0.2601
12.70,-88.8241,-5.0954,0.2633
12.80,-88.7624,-5.0786,0.2750
12.90,-88.7000,-5.0612,0.2802
13.00,-88.6372,-5.0432,0.2853
13.10,-88.5762,-5.0244,0.2928
13.20,-88.5171,-5.0066,0.2960
13.30,-88.4565,-4.9881,0.3011
13.40,-88.3929,-4.9689,0.3078
