t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776758064.49277,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.81562805175781,-1.358976125717163
1776758064.5929716,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.81562805175781,-1.358976125717163
1776758064.6931872,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.81562805175781,-1.358976125717163
1776758064.7933588,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.81562805175781,-1.358976125717163
1776758064.893566,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.81562805175781,-1.358976125717163
1776758064.9937963,25.1,-3.545427,16.386623,0.062294,0.70328,0.081407,-0.063475,-0.703378,-79.73396301269531,-1.3353374004364014
1776758065.094063,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.73396301269531,-1.3353374004364014
1776758065.1942677,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.73396301269531,-1.3353374004364014
1776758065.2944512,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.73396301269531,-1.3353374004364014
1776758065.394651,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.73396301269531,-1.3353374004364014
1776758065.4948096,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.73396301269531,-1.3353374004364014
1776758065.5951638,25.2,-3.557552,16.471645,0.061872,0.703359,0.079307,-0.061332,-0.70373,-79.65213012695312,-1.3113371133804321
1776758065.695379,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.65213012695312,-1.3113371133804321
1776758065.7955825,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.65213012695312,-1.3113371133804321
1776758065.8959863,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.65213012695312,-1.3113371133804321
1776758065.9964592,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.65213012695312,-1.3113371133804321
1776758066.0966449,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.65213012695312,-1.3113371133804321
1776758066.1968455,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.56999206542969,-1.288779377937317
1776758066.297065,25.3,-3.570856,16.555725,0.062656,0.703494,0.077638,-0.059628,-0.703927,-79.56999206542969,-1.288779377937317
1776758066.3972514,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.56999206542969,-1.288779377937317
1776758066.4974713,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.56999206542969,-1.288779377937317
1776758066.5976613,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.56999206542969,-1.288779377937317
1776758066.6981332,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.56999206542969,-1.288779377937317
1776758066.7983215,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.56999206542969,-1.288779377937317
1776758066.8985124,25.4,-3.587289,16.637217,0.064451,0.703596,0.076886,-0.059115,-0.703951,-79.48684692382812,-1.2648000717163086
1776758066.9987278,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.48684692382812,-1.2648000717163086
1776758067.0989764,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.48684692382812,-1.2648000717163086
1776758067.1991835,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.48684692382812,-1.2648000717163086
1776758067.2993712,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.48684692382812,-1.2648000717163086
1776758067.3995273,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.48684692382812,-1.2648000717163086
1776758067.4997065,25.5,-3.60182,16.720993,0.064674,0.703705,0.075067,-0.05716,-0.704199,-79.4065933227539,-1.2428147792816162
1776758067.5999172,25.6,-3.615649,16.806166,0.061275,0.703809,0.07303,-0.054924,-0.704488,-79.4065933227539,-1.2428147792816162
1776758067.7001102,25.6,-3.615649,16.806166,0.061275,0.703809,0.07303,-0.054924,-0.704488,-79.4065933227539,-1.2428147792816162
1776758067.8004808,25.6,-3.615649,16.806166,0.061275,0.703809,0.07303,-0.054924,-0.704488,-79.4065933227539,-1.2428147792816162
