x,y
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.065,-22.267
71.114,-22.152
71.174,-22.024
71.241,-21.893
71.241,-21.893
71.309,-21.765
71.294,-21.789
71.256,-21.862
71.217,-21.933
71.217,-21.933
71.178,-22.004
71.223,-21.921
71.293,-21.792
71.293,-21.792
71.363,-21.666
71.435,-21.538
71.418,-21.564
71.377,-21.636
71.377,-21.636
71.335,-21.709
71.295,-21.780
71.304,-21.753
71.304,-21.753
71.324,-21.706
71.355,-21.654
71.390,-21.602
71.478,-21.498
71.478,-21.498
71.571,-21.386
71.661,-21.277
71.754,-21.168
71.740,-21.180
71.740,-21.180
71.686,-21.242
71.631,-21.308
71.576,-21.371
71.599,-21.344
71.599,-21.344
71.634,-21.301
71.671,-21.257
71.711,-21.213
71.711,-21.213
71.670,-21.257
71.612,-21.321
71.557,-21.381
71.557,-21.381
71.500,-21.443
71.442,-21.506
71.386,-21.567
71.328,-21.630
71.328,-21.630
71.271,-21.692
71.293,-21.667
71.329,-21.626
71.370,-21.585
71.370,-21.585
71.409,-21.544
71.446,-21.507
71.488,-21.466
71.488,-21.466
71.527,-21.429
71.571,-21.389
71.525,-21.426
71.460,-21.480
71.460,-21.480
71.395,-21.534
71.329,-21.588
71.355,-21.565
71.397,-21.530
71.430,-21.502
71.298,-21.606
71.233,-21.660
71.233,-21.660
71.306,-21.597
71.415,-21.506
71.526,-21.412
71.526,-21.412
71.636,-21.317
71.612,-21.335
71.547,-21.389
71.481,-21.443
71.481,-21.443
71.417,-21.497
71.443,-21.473
71.528,-21.404
71.528,-21.404
71.571,-21.368
71.673,-21.282
71.974,-21.030
71.775,-21.187
72.103,-20.921
73.315,-19.913
73.434,-19.809
73.538,-19.719
73.642,-19.628
73.744,-19.538
75.960,-1.038
76.105,-0.370
76.296,1.084
76.296,1.084
71.186,21.830
71.156,21.874
71.126,21.917
71.053,22.021
71.053,22.021
70.973,22.135
70.890,22.250
70.808,22.366
70.684,22.550
70.684,22.550
70.552,22.752
70.423,22.958
70.301,23.163
70.181,23.375
70.181,23.375
70.069,23.589
69.958,23.803
69.852,24.022
69.852,24.022
69.744,24.249
69.639,24.472
69.535,24.700
69.435,24.929
69.435,24.929
69.340,25.138
69.242,25.342
69.137,25.542
69.137,25.542
69.033,25.734
68.919,25.928
68.800,26.118
68.678,26.301
68.678,26.301
68.546,26.484
68.399,26.682
68.250,26.873
68.250,26.873
68.095,27.065
67.935,27.252
67.601,27.628
67.601,27.628
67.428,27.814
67.257,27.995
67.092,28.158
67.092,28.158
66.926,28.318
66.760,28.468
66.587,28.615
66.431,28.746
66.431,28.746
66.297,28.879
66.170,29.020
66.047,29.172
65.900,29.370
65.900,29.370
65.747,29.580
65.598,29.792
65.451,30.002
65.323,30.178
65.323,30.178
65.189,30.345
65.055,30.507
64.912,30.662
64.765,30.807
64.765,30.807
64.615,30.938
64.453,31.064
64.287,31.182
64.287,31.182
64.105,31.300
63.917,31.416
63.724,31.523
63.532,31.625
63.532,31.625
63.321,31.736
63.108,31.853
62.904,31.973
62.904,31.973
62.698,32.097
62.499,32.214
62.299,32.326
62.094,32.433
62.094,32.433
61.889,32.538
61.679,32.643
61.459,32.748
58.961,32.347
58.947,32.152
58.938,31.941
58.938,31.941
58.938,31.729
58.945,31.516
58.956,31.388
58.956,31.388
58.977,31.293
59.008,31.197
59.040,31.115
59.086,31.035
59.086,31.035
59.139,30.954
59.194,30.879
59.259,30.811
59.259,30.811
59.369,30.699
59.493,30.581
59.622,30.472
59.762,30.377
63.223,28.677
66.509,26.881
74.384,7.900
74.532,7.497
74.670,6.926
74.670,6.926
74.823,5.729
74.911,3.712
74.916,3.473
74.927,3.236
74.944,3.001
74.952,2.859
74.961,2.816
74.971,2.771
74.984,2.720
74.998,2.671
75.025,2.574
75.068,2.407
75.068,2.407
75.109,2.211
75.145,2.005
75.171,1.801
75.171,1.801
75.192,1.591
75.207,1.378
75.213,1.164
75.213,1.164
75.222,0.947
75.227,0.694
75.238,0.428
75.253,0.168
75.253,0.168
75.268,-0.093
75.287,-0.349
75.311,-0.597
75.311,-0.597
75.332,-0.853
75.354,-1.110
75.376,-1.370
75.397,-1.637
75.397,-1.637
75.416,-1.902
75.430,-2.167
75.443,-2.423
75.443,-2.423
75.455,-2.677
75.467,-2.929
75.472,-3.187
75.476,-3.460
75.476,-3.460
75.481,-3.730
75.484,-4.009
75.489,-4.283
75.489,-4.283
75.498,-4.493
75.514,-4.695
75.543,-4.898
75.543,-4.898
75.582,-5.096
75.634,-5.337
75.695,-5.582
75.755,-5.823
75.755,-5.823
75.822,-6.060
75.879,-6.280
75.927,-6.488
75.927,-6.488
75.970,-6.704
76.007,-6.921
76.036,-7.133
76.056,-7.345
76.056,-7.345
76.067,-7.555
76.078,-7.763
76.078,-7.763
76.082,-8.019
76.088,-8.286
76.093,-8.548
76.097,-8.816
76.097,-8.816
76.104,-9.040
76.120,-9.249
76.140,-9.462
76.140,-9.462
76.171,-9.672
76.197,-9.827
76.241,-9.964
76.364,-10.226
76.364,-10.226
76.469,-10.419
76.580,-10.625
76.857,-11.185
76.950,-11.436
76.977,-11.571
76.995,-11.683
68.879,-32.494
68.858,-32.512
68.834,-32.522
68.802,-32.520
68.765,-32.521
68.765,-32.521
68.655,-32.549
68.600,-32.577
68.511,-32.618
68.485,-32.613
68.453,-32.612
