x,y
71.1,-22.3
71.1,-22.3
71.1,-22.3
71.8,-20.8
73.2,-19.1
75.0,-18.0
75.4,-17.5
74.9,-17.3
74.6,-17.5
73.2,-17.6
71.1,-17.1
69.0,-16.3
67.2,-15.6
65.9,-14.8
64.1,-14.8
62.1,-15.6
60.5,-16.9
59.6,-18.9
60.2,-20.8
61.0,-21.5
61.1,-20.8
60.8,-20.5
60.6,-20.5
60.5,-20.8
60.0,-20.9
59.7,-21.2
59.8,-21.6
60.2,-21.8
60.7,-21.7
60.8,-21.4
60.7,-21.2
60.7,-20.7
60.6,-20.4
60.6,-20.3
60.3,-20.1
59.9,-20.2
59.8,-20.4
59.9,-20.5
59.9,-20.5
59.9,-20.6
60.3,-20.9
60.8,-20.7
61.0,-20.3
60.7,-20.2
60.5,-20.0
60.3,-19.7
59.8,-19.7
59.0,-18.3
59.2,-16.1
59.7,-13.9
60.2,-11.7
60.4,-10.1
61.5,-8.3
63.3,-7.6
65.4,-7.4
67.6,-7.1
69.5,-6.7
71.6,-6.2
73.4,-5.3
75.0,-3.9
76.4,-2.2
76.0,0.4
76.5,2.4
76.8,4.5
76.3,6.4
72.4,8.7
74.1,9.6
71.6,11.5
71.9,12.3
71.1,12.2
70.6,12.2
70.0,12.1
69.3,11.6
69.1,11.1
69.0,10.8
69.7,10.2
71.3,9.3
73.1,8.8
74.5,9.2
75.6,10.7
75.9,12.4
76.0,14.6
76.0,16.9
75.5,18.8
74.9,20.8
74.2,22.9
73.5,25.0
72.8,26.7
71.4,28.4
69.8,29.9
68.2,31.3
66.8,32.8
65.3,34.3
63.5,35.5
61.7,36.0
59.6,35.7
58.0,34.3
57.8,32.4
58.9,30.8
60.7,30.1
62.9,29.9
65.0,29.9
67.0,29.7
69.1,29.2
70.9,28.2
72.3,26.9
73.6,25.1
74.2,23.3
74.5,21.2
74.8,19.0
74.9,16.9
75.1,15.1
75.2,12.9
75.3,10.9
75.5,9.0
76.0,6.8
75.9,5.2
74.9,4.0
73.7,3.8
73.7,3.8
73.7,3.7
73.9,3.6
74.3,3.5
74.7,3.4
74.8,3.6
74.8,3.8
74.7,3.9
74.6,4.2
74.5,4.3
74.4,4.3
74.4,4.2
74.3,3.9
74.2,3.6
74.3,3.5
74.5,3.5
74.6,3.6
74.9,3.7
75.0,3.9
75.0,4.0
74.3,4.8
73.3,6.8
72.7,8.9
72.3,10.8
72.3,11.3
72.2,11.3
72.1,11.2
72.0,11.1
72.1,11.0
72.2,11.0
72.2,11.0
72.5,11.0
72.8,11.1
72.8,11.2
72.8,11.3
72.7,11.4
72.7,11.4
72.6,11.3
72.6,11.3
72.6,11.1
72.5,10.7
72.6,10.6
72.7,10.6
72.8,10.7
73.0,10.9
73.2,11.0
73.2,11.2
73.1,11.4
73.0,11.4
72.7,11.4
72.5,11.3
72.5,11.2
72.5,11.2
72.6,11.0
72.8,10.7
72.9,10.5
73.0,10.5
73.1,10.6
73.1,10.7
73.2,11.0
73.2,11.2
73.2,11.2
73.1,11.2
72.9,11.0
72.6,10.9
72.5,10.8
72.5,10.7
72.6,10.7
72.8,10.7
73.2,10.8
73.3,10.9
73.2,11.0
73.1,11.0
72.8,11.1
72.6,11.2
72.5,11.2
72.5,11.1
72.5,10.9
72.5,10.6
72.6,10.5
72.7,10.5
72.8,10.6
72.8,10.8
73.0,11.1
72.9,11.2
72.8,11.3
72.7,11.2
72.3,11.1
72.1,11.0
72.1,10.9
72.2,10.8
72.4,10.8
72.7,10.7
