ts,vio_x,vio_y,candidates_tried,best_n_inliers,best_reproj_err,anchor_x,anchor_y,outcome
1776895759.688,71.086,-22.229,3,63,0.85,71.0405923836321,-22.15645049972106,published_std0.05_shift0.1
1776895760.188,71.086,-22.229,3,62,0.85,71.04306611216829,-22.158764402949828,published_std0.05_shift0.1
1776895760.688,71.086,-22.229,3,57,0.89,71.04447535008565,-22.157414329031372,published_std0.05_shift0.1
1776895761.188,71.086,-22.229,3,60,0.92,71.0464259621529,-22.15393000218236,published_std0.05_shift0.1
1776895761.688,71.086,-22.229,3,57,0.81,71.04476666299756,-22.15744407581109,published_std0.05_shift0.1
1776895762.188,71.086,-22.229,3,53,0.81,71.04593168026186,-22.171404598990634,published_std0.05_shift0.1
1776895762.690,71.086,-22.229,3,58,0.92,71.0468601763332,-22.176824276896305,published_std0.05_shift0.1
1776895763.188,71.086,-22.229,3,55,0.91,71.04575471584202,-22.165401681990044,published_std0.05_shift0.1
1776895763.688,71.086,-22.229,3,59,0.92,71.05069530169672,-22.165267987567947,published_std0.05_shift0.1
1776895764.188,71.086,-22.229,3,57,0.88,71.04375328465905,-22.15732813306196,published_std0.05_shift0.1
1776895764.688,71.086,-22.229,3,58,0.93,71.04374312557829,-22.165627331474,published_std0.05_shift0.1
1776895765.188,71.086,-22.229,3,55,0.87,71.04405792425717,-22.172828988330107,published_std0.05_shift0.1
1776895765.688,71.086,-22.229,3,58,0.91,71.04286460447778,-22.166286380338676,published_std0.05_shift0.1
1776895766.188,71.086,-22.229,3,58,0.87,71.04310812100911,-22.162901771986594,published_std0.05_shift0.1
1776895766.688,71.086,-22.229,3,54,0.86,71.04283181617599,-22.167232353174995,published_std0.05_shift0.1
1776895767.188,71.086,-22.229,3,55,0.80,71.04946504262293,-22.178214167257583,published_std0.05_shift0.1
1776895767.688,71.086,-22.229,3,57,0.77,71.05148690305025,-22.17868656554398,published_std0.05_shift0.1
1776895768.188,71.086,-22.229,3,55,0.86,71.0513508728741,-22.171846562946936,published_std0.05_shift0.1
1776895768.688,71.135,-22.118,3,60,1.09,71.14519050850572,-22.221909765011798,published_std0.05_shift0.1
1776895769.188,71.135,-22.118,3,62,1.08,71.16646057675428,-22.215753860586894,published_std0.05_shift0.1
1776895769.688,71.199,-21.985,3,56,1.06,71.29263503858884,-22.283827312221646,published_std0.05_shift0.3
1776895770.188,71.265,-21.856,3,34,0.95,71.45650585442367,-22.34991140312,published_std0.05_shift0.5
1776895770.688,71.335,-21.729,3,21,1.03,71.42448564980076,-22.35251825228766,published_std0.11_shift0.6
1776895771.188,71.319,-21.751,3,24,1.08,71.5327917451483,-22.379689415775132,published_std0.07_shift0.7
1776895771.688,71.319,-21.751,3,29,1.00,71.56164067215671,-22.3942250086942,published_std0.05_shift0.7
1776895772.188,71.278,-21.822,3,32,0.98,71.56419957187384,-22.305352631798332,published_std0.05_shift0.6
1776895772.688,71.239,-21.893,3,31,1.19,71.39563066119578,-22.345388221050573,published_std0.05_shift0.5
1776895773.188,71.197,-21.966,3,38,0.92,71.30395333307274,-22.277301928525326,published_std0.05_shift0.3
1776895773.688,71.242,-21.880,3,34,0.94,71.34258055700474,-22.434093958136632,published_std0.05_shift0.6
1776895774.189,71.242,-21.880,3,35,0.99,71.43919556505378,-22.33509661161988,published_std0.05_shift0.5
1776895774.688,71.312,-21.754,3,27,0.92,71.63304123967966,-22.329771772209376,published_std0.05_shift0.7
1776895775.188,71.384,-21.628,3,30,1.08,71.2357237100393,-19.609082146987607,published_std0.05_shift2.0
1776895775.688,71.457,-21.502,3,34,1.11,71.81264651450003,-22.489748019640018,published_std0.05_shift1.0
1776895776.188,71.457,-21.502,3,32,0.96,71.40891766175075,-19.607678256928786,published_std0.05_shift1.9
1776895776.688,71.531,-21.379,3,28,0.98,71.53006692220336,-19.693871541788617,published_std0.05_shift1.7
1776895777.188,71.604,-21.253,3,34,0.92,71.56112949775084,-19.79748506181625,published_std0.05_shift1.5
1776895777.688,71.678,-21.128,3,36,0.96,71.64507087122853,-19.9230310576918,published_std0.05_shift1.2
1776895778.188,71.749,-21.004,3,37,1.04,71.67633082562153,-19.93458943971571,published_std0.05_shift1.1
1776895778.688,71.749,-21.004,3,43,1.06,71.71404203808203,-20.007481982468956,published_std0.05_shift1.0
1776895779.188,71.787,-20.938,3,50,0.96,71.78198418286217,-20.07526903999539,published_std0.05_shift0.9
1776895779.688,71.810,-20.895,3,51,0.94,71.80460737659979,-20.14352571985326,published_std0.05_shift0.8
1776895780.188,71.839,-20.846,3,46,0.99,71.84319767387754,-20.190357890521653,published_std0.05_shift0.7
1776895780.688,71.855,-20.808,3,44,0.91,71.87157506533832,-20.21184450637812,published_std0.05_shift0.6
1776895781.188,71.855,-20.808,3,53,0.84,71.91595619193681,-20.2102453735547,published_std0.05_shift0.6
1776895781.690,71.889,-20.765,3,50,0.95,71.9553583429104,-20.25393797354222,published_std0.05_shift0.5
1776895782.188,71.922,-20.731,3,62,0.98,72.01814529460981,-20.263349390585073,published_std0.05_shift0.5
1776895782.688,71.959,-20.685,3,66,0.88,72.04673490534964,-20.33892155753887,published_std0.05_shift0.4
1776895783.188,71.959,-20.685,3,60,0.88,71.93263983247738,-20.439560303941487,published_std0.05_shift0.2
1776895783.688,71.995,-20.650,3,65,0.88,72.11402387329761,-20.33455774124402,published_std0.05_shift0.3
1776895784.188,72.087,-20.563,3,58,0.97,72.19151538658447,-20.416258084405175,published_std0.05_shift0.2
