seq,wall_ts,x,y
0,1776895941.339,64.100,-7.600
1,1776895941.339,64.197,-7.600
2,1776895941.339,64.247,-7.600
3,1776895941.339,64.297,-7.600
4,1776895941.339,64.347,-7.600
5,1776895941.339,64.397,-7.600
6,1776895941.339,64.447,-7.600
7,1776895941.339,64.497,-7.600
8,1776895941.339,64.547,-7.600
9,1776895941.339,64.597,-7.600
10,1776895941.339,64.647,-7.600
11,1776895941.339,64.697,-7.600
12,1776895941.339,64.747,-7.600
13,1776895941.339,64.797,-7.600
14,1776895941.339,64.847,-7.601
15,1776895941.339,64.897,-7.601
16,1776895941.339,64.947,-7.601
17,1776895941.339,64.997,-7.601
18,1776895941.339,65.047,-7.601
19,1776895941.339,65.097,-7.601
20,1776895941.339,65.147,-7.601
21,1776895941.339,65.197,-7.601
22,1776895941.339,65.247,-7.601
23,1776895941.339,65.297,-7.602
24,1776895941.339,65.347,-7.602
25,1776895941.339,65.397,-7.602
26,1776895941.339,65.447,-7.602
27,1776895941.339,65.497,-7.602
28,1776895941.339,65.547,-7.603
29,1776895941.339,65.597,-7.603
30,1776895941.339,65.647,-7.603
31,1776895941.339,65.697,-7.603
32,1776895941.339,65.747,-7.604
33,1776895941.339,65.797,-7.604
34,1776895941.339,65.847,-7.604
35,1776895941.339,65.897,-7.604
36,1776895941.339,65.947,-7.605
37,1776895941.339,65.997,-7.605
38,1776895941.339,66.047,-7.605
39,1776895941.339,66.097,-7.606
40,1776895941.339,66.147,-7.606
41,1776895941.339,66.197,-7.606
42,1776895941.339,66.247,-7.607
43,1776895941.339,66.297,-7.607
44,1776895941.339,66.347,-7.608
45,1776895941.339,66.397,-7.608
46,1776895941.339,66.447,-7.608
47,1776895941.339,66.497,-7.609
48,1776895941.339,66.547,-7.609
49,1776895941.339,66.597,-7.610
50,1776895941.339,66.647,-7.610
51,1776895941.339,66.697,-7.611
52,1776895941.339,66.747,-7.611
53,1776895941.339,66.797,-7.612
54,1776895941.339,66.847,-7.612
55,1776895941.339,66.897,-7.613
56,1776895941.339,66.947,-7.614
57,1776895941.339,66.997,-7.614
58,1776895941.339,67.047,-7.615
59,1776895941.339,67.097,-7.615
60,1776895941.339,67.147,-7.616
61,1776895941.339,67.197,-7.617
62,1776895941.339,67.247,-7.617
63,1776895941.339,67.297,-7.618
64,1776895941.339,67.347,-7.619
65,1776895941.339,67.397,-7.620
66,1776895941.339,67.447,-7.620
67,1776895941.339,67.497,-7.621
68,1776895941.339,67.547,-7.622
69,1776895941.339,67.597,-7.623
