t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776761688.0102475,25.1,-3.578858,16.286209,0.057796,0.70459,0.076618,-0.06675,-0.702301,-79.99164581298828,-1.3958425521850586
1776761688.1104577,25.1,-3.578858,16.286209,0.057796,0.70459,0.076618,-0.06675,-0.702301,-79.99164581298828,-1.3958425521850586
1776761688.2108212,25.1,-3.578858,16.286209,0.057796,0.70459,0.076618,-0.06675,-0.702301,-79.99164581298828,-1.3958425521850586
1776761688.311081,25.1,-3.578858,16.286209,0.057796,0.70459,0.076618,-0.06675,-0.702301,-79.9107437133789,-1.372863531112671
1776761688.4113424,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.9107437133789,-1.372863531112671
1776761688.5118833,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.9107437133789,-1.372863531112671
1776761688.6120958,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.9107437133789,-1.372863531112671
1776761688.7122793,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.9107437133789,-1.372863531112671
1776761688.812475,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.9107437133789,-1.372863531112671
1776761688.9126997,25.2,-3.591362,16.366636,0.057463,0.704607,0.075041,-0.065347,-0.702587,-79.83100128173828,-1.3496750593185425
1776761689.0129197,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.83100128173828,-1.3496750593185425
1776761689.1131463,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.83100128173828,-1.3496750593185425
1776761689.213391,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.83100128173828,-1.3496750593185425
1776761689.3136249,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.83100128173828,-1.3496750593185425
1776761689.4138508,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.83100128173828,-1.3496750593185425
1776761689.5141141,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.74671936035156,-1.3256378173828125
1776761689.6143491,25.3,-3.605287,16.453756,0.056377,0.704764,0.073175,-0.063297,-0.702814,-79.74671936035156,-1.3256378173828125
1776761689.7148786,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.74671936035156,-1.3256378173828125
1776761689.8151047,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.74671936035156,-1.3256378173828125
1776761689.9153183,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.74671936035156,-1.3256378173828125
1776761690.0156217,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.74671936035156,-1.3256378173828125
1776761690.115824,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.66460418701172,-1.3028955459594727
1776761690.2160137,25.4,-3.622482,16.54034,0.055433,0.704733,0.071951,-0.062382,-0.703052,-79.66460418701172,-1.3028955459594727
1776761690.3163328,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.66460418701172,-1.3028955459594727
1776761690.416547,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.66460418701172,-1.3028955459594727
1776761690.516751,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.66460418701172,-1.3028955459594727
1776761690.6169522,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.66460418701172,-1.3028955459594727
1776761690.71721,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.66460418701172,-1.3028955459594727
1776761690.8173964,25.5,-3.638553,16.623859,0.05755,0.704832,0.071014,-0.06145,-0.703131,-79.58271789550781,-1.2795131206512451
1776761690.9175987,25.6,-3.6508,16.706335,0.054611,0.704908,0.06908,-0.059415,-0.703423,-79.58271789550781,-1.2795131206512451
1776761691.0178986,25.6,-3.6508,16.706335,0.054611,0.704908,0.06908,-0.059415,-0.703423,-79.58271789550781,-1.2795131206512451
1776761691.1181183,25.6,-3.6508,16.706335,0.054611,0.704908,0.06908,-0.059415,-0.703423,-79.58271789550781,-1.2795131206512451
