t,x,y,yaw
5.10,-94.9452,-5.9901,0.0838
5.20,-94.8954,-5.9842,0.0979
5.30,-94.8275,-5.9771,0.1131
5.40,-94.7647,-5.9697,0.1272
5.50,-94.7001,-5.9627,0.1409
5.60,-94.6331,-5.9527,0.1517
5.70,-94.5695,-5.9428,0.1654
5.80,-94.5058,-5.9310,0.1791
5.90,-94.4410,-5.9164,0.1967
6.00,-94.3778,-5.9051,0.2115
6.10,-94.3118,-5.8916,0.2232
6.20,-94.2468,-5.8776,0.2369
6.30,-94.1852,-5.8620,0.2550
6.40,-94.1205,-5.8453,0.2668
6.50,-94.0575,-5.8289,0.2772
6.60,-93.9942,-5.8105,0.2872
6.70,-93.9338,-5.7928,0.3044
6.80,-93.8701,-5.7719,0.3172
6.90,-93.8086,-5.7535,0.3248
7.00,-93.7487,-5.7319,0.3311
7.10,-93.6870,-5.7117,0.3372
7.20,-93.6270,-5.6902,0.3408
7.30,-93.5671,-5.6678,0.3491
7.40,-93.5088,-5.6476,0.3529
7.50,-93.4286,-5.6182,0.3552
7.60,-93.3458,-5.5876,0.3591
7.70,-93.2628,-5.5569,0.3619
7.80,-93.1825,-5.5249,0.3657
7.90,-93.1003,-5.4938,0.3696
8.00,-93.0169,-5.4615,0.3735
8.10,-92.9358,-5.4292,0.3757
8.20,-92.8524,-5.3985,0.3798
8.30,-92.7715,-5.3651,0.3856
8.40,-92.6898,-5.3333,0.3881
8.50,-92.6076,-5.3001,0.3946
8.60,-92.5259,-5.2665,0.3995
8.70,-92.4441,-5.2332,0.4051
8.80,-92.3602,-5.1980,0.4090
8.90,-92.2802,-5.1623,0.4149
9.00,-92.2011,-5.1277,0.4206
9.10,-92.1196,-5.0918,0.4235
9.20,-92.0388,-5.0551,0.4279
9.30,-91.9595,-5.0191,0.4333
9.40,-91.8784,-4.9819,0.4322
9.50,-91.7999,-4.9450,0.4355
9.60,-91.7202,-4.9077,0.4406
9.70,-91.6428,-4.8710,0.4443
9.80,-91.5615,-4.8325,0.4465
9.90,-91.4810,-4.7945,0.4512
10.00,-91.4002,-4.7547,0.4548
10.10,-91.3408,-4.7255,0.4659
10.20,-91.2645,-4.6869,0.4707
10.30,-91.1866,-4.6469,0.4752
10.40,-91.1082,-4.6058,0.4814
10.50,-91.0306,-4.5665,0.4852
10.60,-90.9509,-4.5235,0.4886
10.70,-90.8948,-4.4930,0.4937
10.80,-90.8397,-4.4652,0.4977
10.90,-90.7831,-4.4337,0.5073
11.00,-90.7252,-4.4016,0.5137
11.10,-90.6699,-4.3701,0.5179
11.20,-90.6136,-4.3385,0.5248
11.30,-90.5580,-4.3054,0.5284
11.40,-90.5012,-4.2728,0.5378
11.50,-90.4469,-4.2397,0.5412
11.60,-90.3906,-4.2054,0.5521
11.70,-90.3337,-4.1711,0.5581
11.80,-90.2811,-4.1390,0.5636
11.90,-90.2742,-4.1349,0.5647
12.00,-90.2255,-4.1046,0.5799
12.10,-90.1695,-4.0658,0.5932
12.20,-90.1186,-4.0313,0.6030
12.30,-90.0641,-3.9951,0.6136
12.40,-90.0165,-3.9601,0.6190
12.50,-89.9612,-3.9206,0.6327
12.60,-89.9094,-3.8841,0.6424
12.70,-89.8580,-3.8462,0.6530
12.80,-89.8069,-3.8055,0.6632
12.90,-89.7574,-3.7656,0.6780
13.00,-89.7060,-3.7252,0.6934
13.10,-89.6539,-3.6812,0.7063
13.20,-89.6065,-3.6368,0.7176
13.30,-89.5574,-3.5928,0.7317
13.40,-89.5094,-3.5480,0.7482
13.50,-89.4646,-3.5036,0.7622
13.60,-89.4186,-3.4593,0.7782
13.70,-89.3721,-3.4129,0.7921
13.80,-89.3283,-3.3657,0.8097
13.90,-89.2806,-3.3160,0.8282
14.00,-89.2380,-3.2689,0.8464
14.10,-89.1963,-3.2232,0.8572
14.20,-89.1525,-3.1721,0.8705
14.30,-89.1096,-3.1202,0.8780
14.40,-89.0708,-3.0724,0.8876
14.50,-89.0293,-3.0208,0.8972
14.60,-88.9910,-2.9720,0.9058
14.70,-88.9491,-2.9183,0.9154
14.80,-88.9093,-2.8663,0.9226
14.90,-88.8687,-2.8150,0.9336
15.00,-88.8323,-2.7635,0.9371
15.10,-88.7945,-2.7123,0.9467
15.20,-88.7558,-2.6581,0.9583
15.30,-88.7185,-2.6034,0.9704
15.40,-88.6834,-2.5532,0.9767
15.50,-88.6456,-2.4962,0.9868
15.60,-88.6115,-2.4443,0.9956
15.70,-88.5742,-2.3870,1.0053
15.80,-88.5395,-2.3336,1.0162
15.90,-88.5364,-2.3291,1.0157
16.00,-88.4939,-2.2590,1.0186
16.10,-88.4465,-2.1844,1.0223
16.20,-88.4012,-2.1098,1.0210
16.30,-88.3555,-2.0313,1.0233
16.40,-88.3092,-1.9491,1.0246
16.50,-88.2605,-1.8671,1.0247
16.60,-88.2162,-1.7950,1.0272
16.70,-88.1692,-1.7068,1.0223
16.80,-88.1209,-1.6261,1.0248
16.90,-88.0739,-1.5467,1.0283
17.00,-88.0279,-1.4655,1.0309
17.10,-87.9797,-1.3856,1.0328
17.20,-87.9330,-1.3047,1.0329
17.30,-87.8833,-1.2258,1.0355
17.40,-87.8386,-1.1449,1.0396
17.50,-87.7916,-1.0645,1.0446
17.60,-87.7460,-0.9827,1.0467
17.70,-87.7012,-0.9029,1.0497
17.80,-87.6554,-0.8221,1.0519
17.90,-87.6082,-0.7400,1.0534
18.00,-87.5646,-0.6604,1.0529
18.10,-87.5197,-0.5796,1.0554
18.20,-87.4741,-0.4996,1.0567
18.30,-87.4317,-0.4188,1.0569
18.40,-87.3861,-0.3388,1.0556
18.50,-87.3397,-0.2570,1.0564
18.60,-87.2959,-0.1834,1.0572
18.70,-87.2884,-0.1729,1.0581
18.80,-87.2493,-0.1036,1.0586
18.90,-87.2060,-0.0252,1.0571
19.00,-87.1630,0.0524,1.0588
19.10,-87.1179,0.1310,1.0575
19.20,-87.0761,0.2053,1.0560
19.30,-87.0332,0.2827,1.0544
19.40,-86.9883,0.3619,1.0542
19.50,-86.9448,0.4355,1.0513
19.60,-86.9012,0.5125,1.0520
19.70,-86.8574,0.5878,1.0500
19.80,-86.8151,0.6627,1.0465
19.90,-86.7711,0.7383,1.0458
20.00,-86.7273,0.8142,1.0449
20.10,-86.6841,0.8867,1.0420
20.20,-86.6397,0.9614,1.0392
20.30,-86.5952,1.0337,1.0383
20.40,-86.5538,1.1061,1.0365
20.50,-86.5069,1.1820,1.0366
20.60,-86.4632,1.2533,1.0349
20.70,-86.4208,1.3256,1.0323
20.80,-86.3754,1.4016,1.0299
20.90,-86.3281,1.4760,1.0283
21.00,-86.2846,1.5479,1.0264
21.10,-86.2375,1.6212,1.0224
21.20,-86.1929,1.6956,1.0219
21.30,-86.1451,1.7710,1.0219
21.40,-86.0969,1.8449,1.0192
21.50,-86.0543,1.9182,1.0193
21.60,-86.0446,1.9326,1.0139
21.70,-86.0011,1.9956,1.0123
21.80,-85.9576,2.0668,1.0129
21.90,-85.9090,2.1397,1.0128
22.00,-85.8622,2.2149,1.0112
22.10,-85.8154,2.2880,1.0120
22.20,-85.7706,2.3620,1.0116
22.30,-85.7242,2.4345,1.0124
22.40,-85.6777,2.5090,1.0119
22.50,-85.6317,2.5811,1.0122
22.60,-85.5854,2.6548,1.0126
22.70,-85.5394,2.7286,1.0129
22.80,-85.4936,2.8012,1.0152
22.90,-85.4472,2.8749,1.0140
23.00,-85.4016,2.9489,1.0139
23.10,-85.3564,3.0208,1.0122
23.20,-85.3099,3.0958,1.0118
23.30,-85.2640,3.1686,1.0120
23.40,-85.2180,3.2415,1.0114
23.50,-85.1722,3.3161,1.0126
23.60,-85.1255,3.3895,1.0129
23.70,-85.0793,3.4617,1.0107
23.80,-85.0333,3.5355,1.0098
23.90,-84.9873,3.6092,1.0098
24.00,-84.9415,3.6806,1.0097
24.10,-84.8960,3.7529,1.0095
24.20,-84.8519,3.8234,1.0113
24.30,-84.8061,3.8934,1.0093
24.40,-84.8032,3.8985,1.0092
24.50,-84.7634,3.9627,1.0107
24.60,-84.7199,4.0333,1.0083
24.70,-84.6763,4.1014,1.0093
24.80,-84.6303,4.1740,1.0081
24.90,-84.5865,4.2448,1.0081
25.00,-84.5410,4.3162,1.0085
25.10,-84.4957,4.3866,1.0077
25.20,-84.4509,4.4573,1.0071
25.30,-84.4059,4.5285,1.0054
25.40,-84.3592,4.6007,1.0055
25.50,-84.3150,4.6702,1.0053
25.60,-84.2687,4.7423,1.0055
25.70,-84.2217,4.8128,1.0062
25.80,-84.1761,4.8841,1.0058
25.90,-84.1303,4.9563,1.0048
26.00,-84.0848,5.0283,1.0055
26.10,-84.0390,5.0980,1.0061
26.20,-83.9929,5.1706,1.0066
26.30,-83.9472,5.2425,1.0065
26.40,-83.9011,5.3122,1.0081
26.50,-83.8570,5.3839,1.0072
26.60,-83.8119,5.4557,1.0068
26.70,-83.7663,5.5261,1.0069
26.80,-83.7207,5.5988,1.0076
26.90,-83.6744,5.6703,1.0079
27.00,-83.6293,5.7421,1.0081
27.10,-83.5824,5.8148,1.0109
27.20,-83.5380,5.8849,1.0106
27.30,-83.5317,5.8969,1.0103
27.40,-83.4905,5.9608,1.0147
27.50,-83.4456,6.0322,1.0165
27.60,-83.3996,6.1076,1.0174
27.70,-83.3531,6.1823,1.0198
27.80,-83.3071,6.2577,1.0208
27.90,-83.2626,6.3313,1.0207
28.00,-83.2152,6.4061,1.0208
28.10,-83.1696,6.4804,1.0240
28.20,-83.1241,6.5550,1.0240
28.30,-83.0780,6.6301,1.0275
28.40,-83.0327,6.7033,1.0278
28.50,-82.9867,6.7773,1.0293
28.60,-82.9414,6.8516,1.0298
28.70,-82.8964,6.9271,1.0308
28.80,-82.8510,7.0006,1.0307
28.90,-82.8053,7.0772,1.0304
29.00,-82.7601,7.1516,1.0324
29.10,-82.7174,7.2257,1.0332
29.20,-82.6702,7.3020,1.0364
29.30,-82.6267,7.3769,1.0365
29.40,-82.5841,7.4500,1.0394
29.50,-82.5389,7.5267,1.0410
29.60,-82.4953,7.6018,1.0433
29.70,-82.4505,7.6751,1.0454
29.80,-82.4082,7.7503,1.0471
29.90,-82.3634,7.8274,1.0509
30.00,-82.3197,7.9053,1.0533
30.10,-82.3178,7.9088,1.0540
30.20,-82.2784,7.9762,1.0543
30.30,-82.2346,8.0522,1.0559
30.40,-82.1912,8.1281,1.0574
30.50,-82.1479,8.2055,1.0566
30.60,-82.1052,8.2806,1.0593
30.70,-82.0615,8.3579,1.0608
30.80,-82.0189,8.4344,1.0611
30.90,-81.9765,8.5098,1.0636
31.00,-81.9332,8.5871,1.0642
31.10,-81.8883,8.6650,1.0648
31.20,-81.8463,8.7414,1.0669
31.30,-81.8036,8.8194,1.0672
31.40,-81.7608,8.8973,1.0693
31.50,-81.7181,8.9718,1.0705
31.60,-81.6759,9.0514,1.0725
31.70,-81.6335,9.1284,1.0765
31.80,-81.5929,9.2051,1.0796
31.90,-81.5512,9.2848,1.0822
32.00,-81.5093,9.3619,1.0858
32.10,-81.4685,9.4404,1.0891
32.20,-81.4273,9.5192,1.0905
32.30,-81.3851,9.5993,1.0954
32.40,-81.3452,9.6787,1.0983
32.50,-81.3039,9.7563,1.0995
32.60,-81.2636,9.8348,1.1035
32.70,-81.2237,9.9146,1.1069
32.80,-81.2199,9.9211,1.1052
32.90,-81.1841,9.9920,1.1074
33.00,-81.1446,10.0704,1.1064
33.10,-81.1054,10.1479,1.1074
33.20,-81.0656,10.2279,1.1081
33.30,-81.0264,10.3057,1.1098
33.40,-80.9866,10.3845,1.1108
33.50,-80.9468,10.4643,1.1131
33.60,-80.9070,10.5436,1.1150
33.70,-80.8689,10.6231,1.1190
33.80,-80.8298,10.7008,1.1204
33.90,-80.7925,10.7797,1.1217
34.00,-80.7532,10.8616,1.1245
34.10,-80.7150,10.9406,1.1254
34.20,-80.6780,11.0214,1.1311
34.30,-80.6399,11.0997,1.1318
34.40,-80.6021,11.1786,1.1333
34.50,-80.5658,11.2589,1.1344
34.60,-80.5269,11.3419,1.1379
34.70,-80.4907,11.4196,1.1378
34.80,-80.4541,11.5003,1.1400
34.90,-80.4187,11.5799,1.1405
35.00,-80.3824,11.6596,1.1429
35.10,-80.3455,11.7377,1.1493
35.20,-80.3092,11.8173,1.1517
35.30,-80.2750,11.8962,1.1547
35.40,-80.2715,11.9052,1.1542
35.50,-80.2402,11.9768,1.1558
35.60,-80.2071,12.0542,1.1585
35.70,-80.1733,12.1306,1.1585
35.80,-80.1401,12.2081,1.1611
35.90,-80.1056,12.2836,1.1587
36.00,-80.0723,12.3569,1.1608
36.10,-80.0396,12.4362,1.1630
36.20,-80.0057,12.5121,1.1653
36.30,-79.9731,12.5897,1.1669
36.40,-79.9404,12.6659,1.1672
36.50,-79.9071,12.7432,1.1688
36.60,-79.8741,12.8242,1.1715
36.70,-79.8421,12.9002,1.1723
36.80,-79.8086,12.9781,1.1759
36.90,-79.7783,13.0532,1.1780
37.00,-79.7461,13.1330,1.1808
37.10,-79.7139,13.2114,1.1833
37.20,-79.6822,13.2878,1.1858
37.30,-79.6503,13.3647,1.1886
37.40,-79.6191,13.4451,1.1894
37.50,-79.5888,13.5212,1.1899
37.60,-79.5572,13.5994,1.1910
37.70,-79.5261,13.6759,1.1921
37.80,-79.4956,13.7530,1.1929
37.90,-79.4648,13.8343,1.1939
38.00,-79.4326,13.9098,1.1956
38.10,-79.4017,13.9913,1.1970
38.20,-79.4027,13.9932,1.1975
38.30,-79.3850,14.0371,1.1885
38.40,-79.3638,14.0902,1.1822
38.50,-79.3404,14.1476,1.1691
38.60,-79.3197,14.2013,1.1608
38.70,-79.2946,14.2530,1.1464
38.80,-79.2711,14.3000,1.1236
38.90,-79.2458,14.3464,1.1084
39.00,-79.2198,14.3978,1.0975
39.10,-79.1919,14.4441,1.0873
39.20,-79.1636,14.4947,1.0779
