x,y
-90.000,35.000
-89.200,35.000
-88.399,35.005
-87.601,35.057
-86.821,35.231
-86.081,35.532
-85.395,35.943
-84.764,36.435
-84.102,36.884
-83.394,37.256
-82.646,37.538
-81.867,37.720
-81.072,37.800
-80.272,37.776
-79.482,37.652
-78.713,37.432
-77.975,37.124
-77.264,36.758
-76.583,36.337
-75.940,35.860
-75.340,35.331
-74.770,34.770
-74.204,34.204
-73.638,33.638
-73.072,33.072
-72.498,32.513
-71.872,32.015
-71.192,31.594
-70.468,31.255
-69.713,30.989
-68.959,30.721
-68.230,30.392
-67.533,29.999
-66.872,29.547
-66.255,29.039
-65.668,28.494
-65.114,27.917
-64.596,27.307
-64.118,26.665
-63.684,25.992
-63.297,25.292
-62.961,24.566
-62.679,23.817
-62.453,23.049
-62.309,22.263
-62.263,21.464
-62.319,20.667
-62.468,19.880
-62.642,19.099
-62.736,18.305
-62.728,17.505
-62.617,16.714
-62.416,15.939
-62.240,15.158
-62.112,14.368
-62.034,13.572
-61.999,12.772
-61.954,11.973
-61.841,11.181
-61.657,10.402
-61.407,9.642
-61.101,8.903
-60.786,8.167
-60.470,7.431
-60.155,6.695
-59.839,5.960
-59.519,5.226
-59.183,4.500
-58.827,3.783
-58.455,3.074
-58.067,2.374
-57.650,1.691
-57.180,1.043
-56.646,0.448
-56.051,-0.087
-55.404,-0.557
-54.727,-0.984
-54.032,-1.382
-53.322,-1.752
-52.599,-2.095
-51.863,-2.409
-51.103,-2.659
-50.324,-2.843
-49.532,-2.955
-48.733,-2.995
-47.932,-3.000
-47.132,-3.000
-46.331,-3.000
-45.531,-3.001
-44.731,-3.014
-43.932,-3.072
-43.140,-3.181
-42.356,-3.343
-41.583,-3.552
-40.826,-3.811
-40.088,-4.120
-39.373,-4.479
-38.684,-4.886
-38.020,-5.334
-37.378,-5.812
-36.758,-6.318
-36.161,-6.852
-35.585,-7.407
-34.967,-7.915
-34.295,-8.348
-33.576,-8.700
-32.823,-8.970
-32.050,-9.174
-31.265,-9.329
-30.471,-9.435
-29.673,-9.491
-28.873,-9.512
-28.079,-9.611
-27.305,-9.812
-26.558,-10.099
-25.842,-10.455
-25.146,-10.851
-24.458,-11.259
-23.775,-11.678
-23.100,-12.107
-22.427,-12.541
-21.711,-12.897
-20.940,-13.105
-20.143,-13.140
-19.353,-13.018
-18.572,-12.843
-17.781,-12.719
-16.982,-12.672
-16.183,-12.702
-15.391,-12.812
-14.623,-13.034
-13.899,-13.373
-13.237,-13.822
-12.645,-14.360
-12.077,-14.923
-11.511,-15.489
