x,y
65.000,35.000
64.305,34.603
63.610,34.206
62.918,33.805
62.244,33.373
61.594,32.907
60.970,32.406
60.374,31.872
59.777,31.340
59.117,30.889
58.395,30.547
57.629,30.320
56.839,30.191
56.047,30.078
55.255,29.965
54.463,29.852
53.671,29.733
52.889,29.567
52.126,29.326
51.393,29.007
50.694,28.618
50.029,28.173
49.387,27.696
48.767,27.190
48.171,26.656
47.598,26.097
47.032,25.532
46.466,24.966
45.900,24.400
45.334,23.834
44.768,23.268
44.203,22.703
43.637,22.137
43.071,21.571
42.505,21.005
41.939,20.439
41.373,19.873
40.807,19.307
40.242,18.742
39.676,18.176
39.110,17.610
38.544,17.044
37.978,16.478
37.412,15.912
36.846,15.346
36.280,14.780
35.715,14.215
35.149,13.649
34.583,13.083
34.017,12.517
33.451,11.951
32.885,11.385
32.319,10.819
31.753,10.253
31.188,9.688
30.622,9.122
30.057,8.554
29.515,7.967
28.999,7.355
28.510,6.721
28.046,6.069
27.551,5.441
26.972,4.890
26.308,4.446
25.581,4.115
24.815,3.885
24.033,3.712
23.243,3.591
22.445,3.522
21.646,3.502
20.845,3.500
20.045,3.500
19.245,3.500
18.444,3.500
17.644,3.500
16.844,3.500
16.044,3.500
15.243,3.500
14.443,3.500
13.643,3.500
12.843,3.500
12.042,3.500
11.242,3.500
10.442,3.500
9.642,3.500
8.841,3.500
8.041,3.500
7.241,3.500
6.441,3.500
5.640,3.500
4.840,3.500
4.040,3.500
3.240,3.500
2.439,3.500
1.639,3.500
0.839,3.500
0.039,3.500
-0.762,3.500
-1.562,3.500
-2.362,3.500
-3.162,3.491
-3.961,3.440
-4.755,3.338
-5.540,3.183
-6.314,2.980
-7.075,2.733
-7.822,2.446
-8.553,2.122
-9.269,1.764
-9.968,1.375
-10.671,0.992
-11.381,0.624
-12.100,0.272
-12.827,-0.064
-13.560,-0.383
-14.296,-0.698
-15.031,-1.013
-15.767,-1.329
-16.503,-1.644
-17.241,-1.953
-17.985,-2.247
-18.737,-2.521
-19.496,-2.773
-20.263,-3.003
-21.039,-3.196
-21.826,-3.344
-22.620,-3.442
-23.418,-3.490
-24.219,-3.500
-25.019,-3.500
-25.819,-3.500
-26.619,-3.500
-27.420,-3.500
-28.220,-3.500
-29.020,-3.500
-29.820,-3.500
-30.621,-3.500
-31.421,-3.512
-32.220,-3.547
-33.018,-3.608
-33.814,-3.694
-34.607,-3.796
-35.402,-3.886
-36.200,-3.951
-36.999,-3.989
-37.800,-4.000
-38.600,-4.000
-39.400,-4.000
-40.200,-4.000
