x,y
-90.000,35.000
-89.198,35.000
-88.397,35.005
-87.598,35.057
-86.817,35.232
-86.076,35.534
-85.390,35.947
-84.758,36.439
-84.095,36.888
-83.385,37.260
-82.636,37.541
-81.856,37.726
-81.063,37.836
-80.265,37.916
-79.465,37.969
-78.664,37.997
-77.863,37.985
-77.069,37.880
-76.294,37.679
-75.546,37.393
-74.828,37.037
-74.137,36.631
-73.469,36.189
-72.829,35.706
-72.218,35.187
-71.637,34.635
-71.069,34.069
-70.503,33.503
-69.936,32.936
-69.369,32.369
-68.802,31.802
-68.235,31.235
-67.669,30.669
-67.102,30.102
-66.538,29.532
-65.996,28.942
-65.479,28.329
-64.991,27.693
-64.530,27.038
-64.097,26.363
-63.692,25.672
-63.315,24.964
-62.969,24.241
-62.659,23.502
-62.434,22.734
-62.324,21.941
-62.341,21.141
-62.474,20.351
-62.651,19.570
-62.742,18.774
-62.729,17.973
-62.607,17.182
-62.408,16.405
-62.235,15.623
-62.108,14.832
-62.031,14.034
-61.997,13.233
-61.952,12.433
-61.836,11.640
-61.649,10.861
-61.395,10.101
-61.087,9.361
-60.792,8.616
-60.517,7.863
-60.261,7.103
-60.024,6.338
-59.786,5.572
-59.509,4.820
-59.189,4.086
-58.834,3.367
-58.444,2.667
-58.012,1.992
-57.523,1.357
-56.974,0.774
-56.360,0.259
-55.702,-0.198
-55.035,-0.643
-54.368,-1.088
-53.701,-1.532
-53.032,-1.972
-52.340,-2.377
-51.603,-2.691
-50.830,-2.898
-50.035,-2.994
-49.234,-3.000
-48.432,-3.000
-47.630,-3.000
-46.829,-3.000
-46.027,-3.003
-45.226,-3.024
-44.426,-3.071
-43.628,-3.143
-42.832,-3.239
-42.038,-3.352
-41.245,-3.465
-40.451,-3.578
-39.658,-3.692
-38.864,-3.801
-38.067,-3.888
-37.268,-3.950
-36.467,-3.987
-35.665,-3.997
-34.864,-3.981
-34.064,-3.940
-33.265,-3.873
-32.469,-3.780
-31.674,-3.674
-30.877,-3.593
-30.077,-3.537
-29.276,-3.508
-28.475,-3.500
-27.673,-3.500
-26.872,-3.500
-26.070,-3.500
-25.268,-3.500
-24.467,-3.500
-23.665,-3.500
-22.864,-3.500
-22.062,-3.500
-21.261,-3.484
-20.465,-3.395
-19.680,-3.232
-18.913,-3.000
-18.165,-2.712
-17.428,-2.398
-16.691,-2.082
-15.954,-1.766
-15.217,-1.450
-14.481,-1.135
-13.744,-0.819
-13.007,-0.503
-12.270,-0.187
-11.534,0.128
-10.797,0.444
-10.060,0.760
-9.323,1.076
-8.587,1.391
-7.850,1.707
-7.110,2.016
-6.363,2.305
-5.607,2.573
-4.845,2.821
-4.075,3.044
-3.296,3.231
-2.506,3.370
-1.710,3.460
-0.909,3.499
-0.108,3.500
0.694,3.500
1.495,3.500
2.297,3.500
3.098,3.500
3.900,3.500
4.702,3.500
5.503,3.500
6.305,3.500
7.106,3.500
7.908,3.500
8.709,3.500
9.511,3.500
10.313,3.500
11.114,3.500
11.916,3.500
12.717,3.500
13.519,3.500
14.320,3.500
15.122,3.500
15.924,3.500
16.725,3.500
17.527,3.500
18.328,3.500
19.130,3.500
19.932,3.500
20.733,3.500
21.535,3.500
22.336,3.500
23.138,3.500
23.939,3.516
24.734,3.616
25.500,3.848
26.219,4.201
26.881,4.652
27.495,5.168
28.098,5.696
28.691,6.235
29.274,6.785
29.844,7.349
30.393,7.932
30.917,8.539
31.413,9.169
31.880,9.820
32.332,10.482
32.813,11.123
33.321,11.743
33.857,12.339
34.415,12.915
34.982,13.482
35.548,14.048
36.115,14.615
36.682,15.182
37.249,15.749
37.816,16.316
38.382,16.882
38.949,17.449
39.516,18.016
40.083,18.583
40.650,19.150
41.216,19.716
41.783,20.283
42.350,20.850
42.917,21.417
43.484,21.984
44.050,22.550
44.617,23.117
45.184,23.684
45.751,24.251
46.318,24.818
46.888,25.381
