x,y
65.000,-35.000
64.199,-35.000
63.399,-35.000
62.598,-35.000
61.798,-35.000
60.997,-35.000
60.196,-35.000
59.396,-34.994
58.597,-34.942
57.803,-34.841
57.017,-34.689
56.240,-34.497
55.463,-34.306
54.676,-34.156
53.882,-34.056
53.083,-34.006
52.283,-33.996
51.483,-33.967
50.684,-33.912
49.888,-33.831
49.094,-33.729
48.298,-33.636
47.501,-33.566
46.702,-33.522
45.901,-33.502
45.101,-33.500
44.300,-33.500
43.499,-33.500
42.699,-33.500
41.898,-33.500
41.098,-33.500
40.297,-33.500
39.496,-33.500
38.696,-33.492
37.898,-33.428
37.114,-33.271
36.353,-33.025
35.621,-32.701
34.920,-32.314
34.216,-31.933
33.504,-31.567
32.784,-31.217
32.056,-30.884
31.318,-30.576
30.556,-30.329
29.777,-30.150
28.984,-30.042
28.184,-30.004
27.384,-30.000
26.583,-30.000
25.783,-30.000
24.982,-30.000
24.181,-30.000
23.381,-30.000
22.580,-30.000
21.779,-30.000
20.979,-30.000
20.178,-30.000
19.378,-30.000
18.577,-30.000
17.776,-30.000
16.976,-30.000
16.175,-30.000
15.375,-30.000
14.574,-30.000
13.773,-30.000
12.973,-30.000
12.172,-30.000
11.371,-30.000
10.571,-30.000
9.770,-30.000
8.970,-30.000
8.169,-30.000
7.368,-30.000
6.568,-30.000
5.767,-30.000
4.967,-30.000
4.166,-30.000
3.366,-29.981
2.580,-29.837
1.838,-29.543
1.167,-29.109
0.575,-28.571
0.007,-28.007
-0.559,-27.441
-1.125,-26.875
-1.691,-26.309
-2.258,-25.742
-2.824,-25.176
-3.390,-24.610
-3.956,-24.044
-4.522,-23.478
-5.088,-22.912
-5.654,-22.346
-6.220,-21.780
-6.787,-21.213
-7.353,-20.647
-7.919,-20.081
-8.485,-19.515
-9.051,-18.949
-9.617,-18.383
-10.183,-17.817
-10.749,-17.251
-11.316,-16.684
-11.883,-16.120
-12.459,-15.563
-13.045,-15.018
-13.642,-14.485
-14.248,-13.962
-14.877,-13.468
-15.585,-13.099
-16.358,-12.900
-17.155,-12.896
-17.940,-13.053
-18.720,-13.233
-19.508,-13.370
-20.304,-13.458
-21.104,-13.496
-21.904,-13.490
-22.704,-13.457
-23.502,-13.397
-24.298,-13.310
-25.090,-13.194
-25.874,-13.033
-26.648,-12.826
-27.408,-12.577
-28.156,-12.290
-28.901,-11.999
-29.666,-11.765
-30.450,-11.605
-31.246,-11.520
-32.046,-11.482
-32.834,-11.352
-33.584,-11.075
-34.264,-10.656
