x,y
-90.000,35.000
-90.398,34.303
-90.797,33.606
-91.200,32.911
-91.633,32.235
-92.101,31.583
-92.604,30.958
-93.141,30.360
-93.673,29.759
-94.122,29.095
-94.461,28.369
-94.686,27.599
-94.821,26.808
-94.988,26.022
-95.202,25.249
-95.460,24.489
-95.759,23.744
-96.105,23.019
-96.504,22.323
-96.960,21.662
-97.471,21.044
-98.025,20.463
-98.538,19.845
-98.993,19.184
-99.392,18.488
-99.738,17.763
-100.037,17.018
-100.295,16.258
-100.510,15.484
-100.678,14.699
-100.797,13.905
-100.885,13.107
-100.949,12.307
-100.986,11.505
-100.998,10.702
-101.000,9.899
-101.000,9.096
-101.000,8.293
-101.000,7.490
-101.000,6.687
-101.000,5.884
-101.000,5.081
-101.000,4.278
-101.002,3.475
-101.025,2.673
-101.074,1.871
-101.149,1.072
-101.247,0.275
-101.345,-0.522
-101.421,-1.321
-101.471,-2.122
-101.496,-2.925
-101.500,-3.728
-101.500,-4.531
-101.500,-5.334
-101.500,-6.137
-101.500,-6.940
-101.500,-7.743
-101.500,-8.546
-101.500,-9.349
-101.503,-10.152
-101.552,-10.953
-101.692,-11.743
-101.923,-12.511
-102.234,-13.251
-102.613,-13.959
-102.938,-14.692
-103.166,-15.461
-103.276,-16.255
-103.261,-17.057
-103.144,-17.851
-102.971,-18.635
-102.751,-19.407
-102.487,-20.166
-102.179,-20.907
-101.828,-21.629
-101.435,-22.329
-101.000,-23.004
-100.528,-23.653
-100.021,-24.276
-99.520,-24.903
-99.033,-25.542
-98.560,-26.191
-98.104,-26.851
-97.674,-27.529
-97.288,-28.233
-96.952,-28.962
-96.667,-29.712
-96.430,-30.479
-96.113,-31.216
-95.681,-31.892
-95.140,-32.484
-94.511,-32.981
-93.834,-33.414
-93.132,-33.802
-92.406,-34.146
-91.659,-34.440
-90.900,-34.700
-90.138,-34.954
-89.443,-35.342
-89.035,-36.021
-89.032,-36.815
-89.436,-37.497
-90.132,-37.877
-90.925,-37.848
-91.675,-37.570
-92.321,-37.098
-92.930,-36.574
-93.512,-36.021
-94.064,-35.438
-94.591,-34.832
-95.085,-34.200
-95.530,-33.531
-95.894,-32.817
-96.185,-32.069
-96.397,-31.295
-96.538,-30.505
-96.672,-29.714
-96.952,-28.962
-97.288,-28.233
-97.674,-27.529
-98.104,-26.851
-98.560,-26.191
-99.033,-25.542
-99.520,-24.903
-100.021,-24.276
-100.528,-23.653
-101.000,-23.004
-101.435,-22.329
-101.828,-21.629
-102.179,-20.907
-102.487,-20.166
-102.751,-19.407
-102.971,-18.635
-103.144,-17.851
-103.261,-17.057
-103.276,-16.255
-103.166,-15.461
-102.938,-14.692
-102.613,-13.959
-102.234,-13.251
-101.923,-12.511
-101.692,-11.743
-101.552,-10.953
-101.503,-10.152
-101.500,-9.349
-101.500,-8.546
-101.500,-7.743
-101.500,-6.940
-101.500,-6.137
-101.500,-5.334
-101.500,-4.531
-101.500,-3.728
-101.496,-2.925
-101.471,-2.122
-101.421,-1.321
-101.345,-0.522
-101.247,0.275
-101.149,1.072
-101.074,1.871
-101.025,2.673
-101.002,3.475
-101.000,4.278
-101.000,5.081
-101.000,5.884
-101.000,6.687
-101.000,7.490
-101.000,8.293
-101.000,9.096
-101.000,9.899
-100.998,10.702
-100.986,11.505
-100.949,12.307
-100.885,13.107
-100.797,13.905
-100.678,14.699
-100.510,15.484
-100.295,16.258
-100.037,17.018
-99.738,17.763
-99.392,18.488
-98.993,19.184
-98.538,19.845
-98.025,20.463
-97.471,21.044
-96.960,21.662
-96.504,22.323
-96.105,23.019
-95.759,23.744
-95.460,24.489
-95.202,25.249
-94.988,26.022
-94.821,26.808
-94.686,27.599
-94.461,28.369
-94.122,29.095
-93.673,29.759
-93.141,30.360
-92.604,30.958
-92.101,31.583
-91.633,32.235
-91.200,32.911
-90.797,33.606
-90.398,34.303
-90.000,35.000
