x,y
65.000,-35.000
65.399,-34.303
65.797,-33.605
66.200,-32.910
66.634,-32.234
67.102,-31.582
67.606,-30.956
68.143,-30.359
68.674,-29.757
69.122,-29.092
69.461,-28.365
69.685,-27.594
69.818,-26.802
69.958,-26.012
70.124,-25.226
70.313,-24.445
70.529,-23.671
70.804,-22.917
71.159,-22.197
71.597,-21.524
72.109,-20.906
72.669,-20.331
73.237,-19.763
73.805,-19.195
74.373,-18.627
74.936,-18.054
75.443,-17.432
75.873,-16.754
76.220,-16.030
76.485,-15.272
76.687,-14.495
76.838,-13.706
76.940,-12.909
76.992,-12.108
77.000,-11.305
77.000,-10.501
77.000,-9.698
77.000,-8.895
77.000,-8.092
77.000,-7.288
77.000,-6.485
77.000,-5.682
77.000,-4.878
77.000,-4.075
77.000,-3.272
77.000,-2.468
77.000,-1.665
77.000,-0.862
77.000,-0.059
77.000,0.745
77.000,1.548
77.000,2.351
77.000,3.155
77.000,3.958
77.000,4.761
77.000,5.565
76.980,6.368
76.913,7.168
76.797,7.963
76.631,8.749
76.423,9.524
76.221,10.302
76.045,11.086
75.892,11.874
75.764,12.667
75.661,13.464
75.583,14.263
75.531,15.065
75.506,15.868
75.500,16.671
75.500,17.474
75.500,18.278
75.500,19.081
75.500,19.884
75.445,20.685
75.314,21.477
75.110,22.254
74.842,23.011
74.516,23.745
74.134,24.452
73.697,25.125
73.204,25.758
72.655,26.345
72.087,26.913
71.519,27.481
70.951,28.049
70.383,28.617
69.815,29.185
69.247,29.753
68.679,30.321
68.111,30.889
67.547,31.461
67.004,32.052
66.494,32.673
66.026,33.326
65.597,34.005
65.184,34.694
64.712,35.339
64.003,35.694
63.212,35.635
62.562,35.180
62.236,34.456
62.328,33.668
62.721,32.968
63.290,32.407
63.931,31.924
64.596,31.473
65.282,31.054
65.984,30.665
66.699,30.298
67.416,29.937
68.134,29.576
68.852,29.215
69.569,28.854
70.287,28.493
70.951,28.049
71.519,27.481
72.087,26.913
72.655,26.345
73.204,25.758
73.697,25.125
74.134,24.452
74.516,23.745
74.842,23.011
75.110,22.254
75.314,21.477
75.445,20.685
75.500,19.884
75.500,19.081
75.500,18.278
75.500,17.474
75.500,16.671
75.506,15.868
75.531,15.065
75.583,14.263
75.661,13.464
75.764,12.667
75.892,11.874
76.045,11.086
76.221,10.302
76.423,9.524
76.631,8.749
76.797,7.963
76.913,7.168
76.980,6.368
77.000,5.565
77.000,4.761
77.000,3.958
77.000,3.155
77.000,2.351
77.000,1.548
77.000,0.745
77.000,-0.059
77.000,-0.862
77.000,-1.665
77.000,-2.468
77.000,-3.272
77.000,-4.075
77.000,-4.878
77.000,-5.682
77.000,-6.485
77.000,-7.288
77.000,-8.092
77.000,-8.895
77.000,-9.698
77.000,-10.501
77.000,-11.305
76.992,-12.108
76.940,-12.909
76.838,-13.706
76.687,-14.495
76.485,-15.272
76.220,-16.030
75.873,-16.754
75.443,-17.432
74.936,-18.054
74.373,-18.627
73.805,-19.195
73.237,-19.763
72.669,-20.331
72.109,-20.906
71.597,-21.524
71.159,-22.197
70.804,-22.917
70.529,-23.671
70.313,-24.445
70.124,-25.226
69.958,-26.012
69.818,-26.802
69.685,-27.594
69.461,-28.365
69.122,-29.092
68.674,-29.757
68.143,-30.359
67.606,-30.956
67.102,-31.582
66.634,-32.234
66.200,-32.910
65.797,-33.605
65.399,-34.303
65.000,-35.000
